industry_type,total_direct_emissions,state_population,state_gdp_per_capita,state_policies_incentives,USDA_energy_invest_unit,USDA_energy_invest,renewables_percent
9,14.429823529904782,27914064,58033.62062,140,176,83600842.01,13.4
9,10.218703173904222,27914064,58033.62062,140,176,83600842.01,13.4
46,14.491381109326886,27914064,58033.62062,140,176,83600842.01,13.4
32,10.573397170157339,27914064,58033.62062,140,176,83600842.01,13.4
32,10.562093183561998,27914064,58033.62062,140,176,83600842.01,13.4
29,11.094924024387113,27914064,58033.62062,140,176,83600842.01,13.4
46,15.74089127957101,27914064,58033.62062,140,176,83600842.01,13.4
9,12.561289527012281,27914064,58033.62062,140,176,83600842.01,13.4
46,13.963304449873194,27914064,58033.62062,140,176,83600842.01,13.4
48,10.623544398402931,27914064,58033.62062,140,176,83600842.01,13.4
48,8.00603417874901,27914064,58033.62062,140,176,83600842.01,13.4
29,10.609953246634236,27914064,58033.62062,140,176,83600842.01,13.4
29,10.541481894979238,27914064,58033.62062,140,176,83600842.01,13.4
9,12.32701847870968,27914064,58033.62062,140,176,83600842.01,13.4
9,12.564084361590794,27914064,58033.62062,140,176,83600842.01,13.4
46,14.37323494461318,27914064,58033.62062,140,176,83600842.01,13.4
47,10.53505737006583,27914064,58033.62062,140,176,83600842.01,13.4
29,11.406447413991241,27914064,58033.62062,140,176,83600842.01,13.4
46,13.934883461555032,27914064,58033.62062,140,176,83600842.01,13.4
32,11.661590147049205,27914064,58033.62062,140,176,83600842.01,13.4
48,11.478665228285115,27914064,58033.62062,140,176,83600842.01,13.4
31,11.57738048262148,27914064,58033.62062,140,176,83600842.01,13.4
29,10.963771817485155,27914064,58033.62062,140,176,83600842.01,13.4
32,10.463821082832867,27914064,58033.62062,140,176,83600842.01,13.4
48,10.111598681016376,27914064,58033.62062,140,176,83600842.01,13.4
46,11.4557115201767,27914064,58033.62062,140,176,83600842.01,13.4
9,9.031840303983644,27914064,58033.62062,140,176,83600842.01,13.4
9,12.561966323360002,27914064,58033.62062,140,176,83600842.01,13.4
48,12.144565525051318,27914064,58033.62062,140,176,83600842.01,13.4
28,13.089487082042696,27914064,58033.62062,140,176,83600842.01,13.4
28,14.21879364719982,27914064,58033.62062,140,176,83600842.01,13.4
9,14.606203051284059,27914064,58033.62062,140,176,83600842.01,13.4
34,12.1791242781369,27914064,58033.62062,140,176,83600842.01,13.4
29,8.592594498280514,27914064,58033.62062,140,176,83600842.01,13.4
48,12.159276067846,27914064,58033.62062,140,176,83600842.01,13.4
9,14.110566744184688,27914064,58033.62062,140,176,83600842.01,13.4
9,8.874577243878083,27914064,58033.62062,140,176,83600842.01,13.4
9,13.653794383819244,27914064,58033.62062,140,176,83600842.01,13.4
29,10.212960348240417,27914064,58033.62062,140,176,83600842.01,13.4
31,12.954463199632588,27914064,58033.62062,140,176,83600842.01,13.4
31,13.98733178541695,27914064,58033.62062,140,176,83600842.01,13.4
48,11.943029525692507,27914064,58033.62062,140,176,83600842.01,13.4
48,12.299167418586725,27914064,58033.62062,140,176,83600842.01,13.4
48,11.291829815273319,27914064,58033.62062,140,176,83600842.01,13.4
