,Facility Id,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
310,1010233,599748.104,458414.612,559462.188,640265.796,224886.694,307473.876,255751.482,537030.246,210324.54,1304261.536
312,1008673,33412.048,29235.242,28992.698,28372.498,32469.798,53259.534,52488.124,58512.748,67917.544,59781.794
313,1008957,201540.364,525309.416,286116.748,154680.01,89484.84,82103.106,110294.43,100189.562,290498.708,377101.106
314,1008958,120505.296,99585.696,84907.446,23074.042,34283.28,52393.576,33603.368,12165.2,81574.244,128172.142
327,1009956,51563.816,156239.228,93052.532,75276.808,61535.576,72353.496,175145.336,121769.638,157075.54,244094.644
340,1011659,1116503.796,2118286.87,632774.648,262919.65,267075.714,257629.572,315596.732,308107.372,290548.538,266466.038
344,1009595,531017.976,806102.934,641676.846,542803.352,325756.796,386399.796,509958.514,197165.212,168039.332,219769.838
345,1009967,154791.25,147222.1,165046.986,186287.55,297016.186,328247.64,358912.37,347002.988,522352.492,566488.544
346,1009932,222871.198,228693.85,208628.7,197550.1,317978.38,256546.3,274124.45,211469.762,394282.45,1075807.55
353,1009666,339841.988,995842.466,645347.11,753882.538,171145.944,124467.366,183631.506,123787.984,112537.286,33955.394
354,1009689,14697.876,132601.358,449003.278,390761.618,341011.388,261478.506,509699.302,441487.802,432522.714,1207089.91
356,1008534,127919.306,131108.664,95782.414,93132.246,84073.034,88674.58,82890.322,72429.276,56730.296,70549.192
358,1008604,81438.426,136224.102,109613.566,134354.542,136038.53,206431.688,233617.334,253550.596,208410.35,398927.756
359,1008475,221920.3,635201.95,597198.15,546626.75,523952.4,445432.244,399232.832,636132.03,677238.556,668590.806
366,1008608,216592.99,210725.946,210461.896,209566.398,193022.984,195959.032,186632.506,177342.37,171864.222,177429.462
380,1009357,84113.864,95446.474,91491.866,61227.732,64483.744,141277.466,168686.634,212426.026,318819.648,341783.704
383,1008753,82443.118,85369.504,85422.508,60221.882,38761.338,72578.916,35019.082,28361.736,83668.838,95643.132
385,1008755,48793.14,50554.768,50842.02,71982.842,80863.824,64245.02,144220.786,163330.558,159982.816,67294.278
386,1008323,27742.144,33000.688,47932.942,55137.588,58682.64,43400.522,38311.246,69245.216,51038.388,36482.796
390,1010222,1228151.178,1238843.328,1233583.778,1418322.572,1109795.352,961543.11,193830.258,52718.884,38809.392,29952.048
393,1009848,57667.394,67448.764,55809.852,44076.038,34566.162,42327.446,35169.516,329662.528,234015.218,260842.842
398,1009625,557101.378,656280.05,535423.682,367705.358,332092.618,524334.814,945047.454,1289798.746,816766.906,442940.44
399,1008794,158818.276,293419.466,345260.83,256932.584,196595.156,144371.944,29440.282,34049.562,31258.104,13044.844
