,Facility Id,Primary NAICS Code,Latest Reported Industry Type (sectors),2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
0,1004377,562212,Waste,504064.0,518680.25,653854.0,250497.5,221014.75,199011.75,241883.5,289953.25,204000.0,194000.0
4,1000112,221112,Power Plants,60819.7,44658.384,70705.288,52698.656,66797.352,67399.252,40722.2,102599.22,68984.744,100591.828
8,1003742,562212,Waste,100500.948,18925.4,31220.15,29026.8,120657.6,92696.6,120707.35,97467.5,87357.75,95113.25
12,1003188,326113,Minerals,29359.64,30571.636,34432.42,36202.264,31773.48,36754.712,36419.864,34821.82,33671.924,37149.36
13,1005043,541715,Other,82308.238,106258.176,104995.534,76595.41,79174.0,79440.076,81855.4,80335.194,72407.026,76373.372
14,1003739,326113,Minerals,27083.0,29770.94,28622.296,25133.956,18948.028,31694.636,33684.328,32082.184,31178.788,29977.592
15,1007698,212313,Other,46909.124,45435.226,40427.048,42620.94,36574.112,22926.664,26667.0,29429.54,27702.296,28388.544
16,1004206,325211,"Chemicals,Industrial Gas Suppliers",44016.264024,46652.134232,48998.483072,47331.524872,48267.93266,47000.287444,53024.89056,58214.7428,57279.4644,60442.67208
17,1006665,325998,"Chemicals,Industrial Gas Suppliers",657865.8974,766971.8816,723397.9932,713887.6054,697084.3049,889484.7437,1230363.0352,2289068.5036,1485532.2505,1380760.00524115
18,1004836,325998,"Chemicals,Industrial Gas Suppliers,Minerals",49540.272991,32126.480472,40325.9443,33796.9101,41687.8354,45416.31069,66306.62896,64664.1074,56198.97,73653.198
19,1003408,212399,Other,33733.426,30635.384,25541.604,29695.888,30646.084,24870.356,31188.932,28078.744,21306.22,22891.564
20,1004914,326199,Other,39621.3,39937.9,38917.952,37906.756,31373.332,36316.764,39453.852,37107.36,36169.064,39973.448
21,1004804,326113,Other,31562.832,33839.77,33196.276,30529.336,30263.836,31007.384,27259.448,29197.34,28930.992,30394.636
26,1004680,562212,Waste,63873.5,67620.0,71586.5,75785.5,80230.75,84936.75,89918.75,95193.0,100776.5,106687.75
27,1000766,221330,Power Plants,149968.982,224910.106,260405.936,218874.796,232873.708,238778.194,262718.648,206935.342,199034.55,265415.758
28,1007733,221320,Other,21730.668,24201.708,21834.068,22707.964,22362.816,26395.6,27184.248,26929.748,26822.848,25928.352
29,1000767,221330,Power Plants,174902.712,254385.114,270795.33,194944.188,205696.23,255020.78,272983.418,226196.74,148328.41,297071.804
30,1001033,221112,Power Plants,2386473.354,2789540.744,2741626.714,2172917.248,2315093.224,2663665.556,3143355.92,2556867.744,2538211.824,2270617.68
33,1006009,335313,Other,11023.8,15043.44,4468.8,6495.72,4550.88,10898.4,21637.2,70789.44,114.0,27106.92
35,1002983,424210,Other,55009.392,54130.096,54787.244,55489.192,55832.74,56777.334,64177.574,68720.94,58630.792,75805.464
36,1007514,325412,Chemicals,64383.468,86980.038,86045.7,82095.45,85474.85,95561.37,98333.766,106357.646,110110.44,116626.036
37,1004511,324199,Metals,171414.198,177086.876,176844.078,166390.22,161315.038,171606.494,201540.706,199654.2,214858.5,223890.3
39,1005353,325193,Other,196953.308,193369.872,194354.968,189764.636,189764.636,180568.92,174747.692,182302.264,172174.552,162005.144
40,1006971,928110,Other,95765.878,108122.626,106920.024,83575.72,80483.606,69918.52,54155.474,33282.086,40467.052,51104.972
42,1002627,325193,"Other,Waste",142519.35,140703.258,170171.848,177140.222,174562.492,178561.368,179161.664,180438.26,172951.432,167013.704
43,1002685,211120,Petroleum and Natural Gas Systems,195340.752,214992.532,214868.72,209376.546,265377.77,275627.372,229358.716,180859.878,175745.18,134678.516
44,1006529,562111,Waste,45082.5,53725.25,53049.5,52774.25,52502.75,51686.5,51001.0,50322.75,49691.0,47807.5
46,1004761,325193,"Other,Suppliers of CO2",69300.84,75591.916,73526.124,73406.124,74011.772,73115.024,75143.268,72119.23,71600.98,70091.236
47,1005601,327120,Minerals,26692.3,26165.752,27772.696,26481.6,55858.24,58615.68,29376.34,31235.332,24725.356,22273.0
48,1005046,327420,Minerals,39773.0,39610.7,38344.156,37790.608,39418.452,35616.516,34729.62,28972.14,28780.592,29403.14
49,1002731,221112,Power Plants,85831.676,81392.592,100988.82,95251.54,93656.996,94984.492,109183.288,100435.022,89412.964,108163.192
50,1003752,325998,Chemicals,194427.156,172184.88,197306.896,183758.036,220376.876,188762.668,143455.08,97533.63,126979.98,62533.968
51,1003422,325193,Other,86205.076,91352.056,84644.032,85443.128,80070.748,76422.312,74812.268,67654.596,65913.002,73368.674
52,1002154,311225,Other,139900.224,90584.588,129574.91,129892.802,138907.888,143286.47,138201.4,137337.738,96361.56,129094.78
53,1006047,311221,"Other,Waste",2338390.15,3071299.446,3008750.946,3053653.682,2952187.862,3048420.424,3022790.716,2916363.878,3233301.058,3018343.17
54,1006208,311221,"Other,Waste",2110774.534,2088384.04,2089938.928,1939935.277,2024063.47,2151829.934,2272580.96,2188314.938,2010290.49,2061252.446
58,1000376,311224,Other,104084.408,109506.606,102194.748,117650.22,131129.504,195047.938,152630.298,147569.168,164391.43,166895.286
59,1006080,322110,Pulp and Paper,26863.848,26210.152,31847.27,30339.624,28638.938,24860.4,24508.052,23341.412,25097.256,27081.248
60,1000034,311224,Other,153766.68,149818.092,155623.274,145234.284,150870.244,144115.254,141702.51,133350.86,142430.784,147019.712
62,1001991,562212,Waste,6576.25,6905.0,7499.75,8235.0,9104.75,14142.25,16305.15,16353.3,18518.3,34758.948
63,1001633,562212,Waste,141324.158,137465.812,94485.658,79728.652,85030.5,97230.5,124823.75,87961.0,92917.5,106789.0
64,1001636,562212,Waste,319537.0,320648.0,309782.0,218748.25,206818.5,137389.0,164077.25,311950.25,292924.0,106262.5
65,1006790,562212,Waste,151287.25,145819.0,143100.5,117889.25,91961.5,90617.5,122873.75,75749.75,60150.0,95842.25
66,1002094,562212,Waste,4266.75,7440.0,8221.3,26421.2,23065.6,24335.75,18855.2,32730.8,38172.1,12461.1
67,1001845,562212,Waste,20077.15,36865.698,22295.696,22308.646,28204.848,35228.75,30677.05,36060.05,44418.55,27099.0
68,1003038,562212,Waste,21802.698,15454.648,33138.798,29459.898,29119.05,27558.75,24570.9,17676.15,21667.55,26828.7
69,1006979,562212,Waste,5362.25,5324.0,5774.75,6111.0,7778.0,8606.0,9383.25,9530.0,10848.75,24171.0
70,1001637,562212,Waste,192679.1,184687.6,156829.2,121900.95,133228.6,168657.45,113312.9,105230.3,138458.4,78595.9
71,1006963,562212,Waste,33001.6,29269.75,34028.2,49066.45,43782.65,28856.8,43911.0,46213.6,42936.6,53378.1
72,1000627,325211,Other,57749.83,60337.412,54836.588,58554.38,58711.368,49418.096,46014.576,45318.778,40862.796,40021.946
73,1000630,325199,"Chemicals,Suppliers of CO2",1181515.788,1241380.064,995690.3,1040591.29,958521.876,974277.288,1054912.63,1115670.506,1151345.38,999354.416
74,1005310,221112,Power Plants,3431800.86,4455499.092,3079369.918,2478454.072,3949680.502,3433759.136,3732438.376,3692531.442,3459977.708,3682689.134
75,1001444,221112,Power Plants,823899.996,531900.472,686655.256,591937.056,599958.876,684931.612,841011.832,895173.732,949253.836,693852.344
78,1005972,221112,Power Plants,1186453.736,1309102.42,1287782.31,1473806.46,1930487.772,1643792.706,1767528.436,1686962.128,1824245.528,1681827.486
79,1001447,221112,Power Plants,516763.936,255988.948,201661.552,256547.5,298418.244,432232.948,530032.636,498432.852,693421.48,661647.948
80,1001450,221112,Power Plants,239844.36,171792.812,194694.98,352462.044,213419.06,318386.968,177465.292,223221.724,409497.132,314013.496
81,1001223,221112,"Power Plants,Suppliers of CO2",1117382.992,1226185.332,1212774.492,1233626.17,1091102.582,1324825.018,1367442.996,1482156.434,1408065.392,1487364.736
82,1003853,324191,Petroleum and Natural Gas Systems,50044.16,51203.208,50153.512,49646.612,48641.416,49461.264,50470.76,45603.128,41473.744,44437.032
83,1007551,221112,Power Plants,7329.672,8452.968,8596.068,8104.12,8417.368,9454.464,9323.564,9405.0,9060.4,10524.6
86,1006054,311224,Other,66086.452,68459.474,105532.062,108347.058,129447.302,131086.096,127059.26,116196.52,159888.51,159666.156
88,1002291,311224,Other,38906.004,42325.64,36194.564,34376.92,33267.424,32544.728,32785.706,24991.556,22220.12,23533.72
89,1007333,327211,Minerals,77596.454,94867.692,80102.0,187268.058,169184.144,130879.048,69030.128,90720.636,132033.0,101820.592
90,1004631,327211,Minerals,101902.568,103900.116,105795.108,107440.608,106728.712,100719.08,98877.532,100289.076,96834.38,95890.428
92,1005824,327211,Minerals,117946.716,130930.104,119200.356,133064.272,130185.24,129688.14,126933.052,103158.5,111224.958,93463.44
93,1002067,311224,Other,184240.124,226105.372,215933.418,199879.742,160396.604,153707.268,144421.916,216147.536,243054.912,264320.02
94,1005284,325199,"Chemicals,Waste",5563.08,27128.198,37588.258,39921.45,35119.268,327.448,29169.44,8320.768,20053.274,39010.552
96,1002380,325311,"Chemicals,Suppliers of CO2",955607.872,902306.712,1232578.78,852522.156,747135.884,828959.472,921696.592,888228.902,986925.656,960401.74
97,1004236,325311,Chemicals,145127.444,145449.44,119949.492,144289.992,151370.692,155888.044,132249.148,154497.244,146925.596,110765.796
99,1001919,311119,Other,111912.628,127169.972,142605.264,140750.32,119425.6,116558.612,120451.196,116984.86,110569.784,108640.84
100,1006430,325120,Chemicals,556606.1,601812.2,574912.2,629814.3,642976.0,550717.4,615454.5,582787.4,586790.8,587606.2
101,1003724,325120,Chemicals,367763.2,405375.2,428722.1,375203.2,447275.3,478965.4,398428.8,417676.7,427677.8,384317.0
102,1003730,325120,Chemicals,203358.2,204163.1,257.3,187348.44,186622.784,172195.796,17656.376,15132.492,0.0,0.0
103,1003780,325120,Chemicals,4217.184,224753.604,169491.06,195211.564,212344.5,212034.252,186342.948,206193.166,206460.166,208188.316
104,1003910,325120,Chemicals,398199.2,421383.3,392155.8,440288.7,464314.8,495416.2,414291.6,430713.0,386848.0,389836.0
105,1006115,325120,Chemicals,349268.836,337135.98,376732.132,325216.476,434745.012,459081.672,214865.692,471190.024,459098.02,362954.132
106,1003591,221330,Power Plants,113676.428,156240.194,157879.656,243.0,132239.052,136964.984,200471.996,101777.216,97064.284,114174.02
107,1003748,325120,Chemicals,881232.4,800781.6,861882.4,836849.5,769834.8,817993.8,812331.2,884054.9,765747.2,645334.9
108,1003013,325120,Chemicals,642856.6,661607.6,704352.4,754846.6,854424.3,801530.8,871910.8,808508.0,777691.0,829917.0
109,1002754,325120,Chemicals,569828.4,515418.9,647385.6,701382.5,715511.0,700490.6,661624.1,677191.0,652674.0,737875.0
110,1002698,325120,"Chemicals,Suppliers of CO2",56325.0,59766.8,57053.3,53144.0,51276.0,62556.3,131236.8,52191.0,94510.0,51184.0
111,1003009,325120,Chemicals,199762.0,237131.696,239562.74,288393.24,252126.64,225715.84,201205.64,220230.288,227751.288,300517.412
112,1002121,325120,Chemicals,526494.9,717297.2,656894.1,776437.6,723982.5,742219.1,692752.1,719190.4,677782.4,756312.0
113,1002122,325120,Chemicals,87288.672,264073.012,260155.308,232285.024,264047.964,196659.192,255066.636,270210.57,217135.44,258513.29
114,1005809,325120,Chemicals,123064.7,145290.5,148037.4,176811.4,200141.4,221255.8,191344.9,192346.2,217435.0,208525.1
115,1002727,325120,Chemicals,790406.7,866609.9,913954.5,890023.7,930932.9,916355.0,831689.6,878248.0,887542.0,930792.0
116,1002123,325120,Chemicals,48575.2,47119.8,49661.8,46574.1,45361.1,44246.3,44825.6,43639.9,47584.4,45158.4
117,1002430,325120,Chemicals,109271.936,105219.104,166849.16,361040.262,356928.254,342308.9,273981.724,474277.376,499898.664,470308.896
118,1002257,325120,Chemicals,507837.8,698524.9,729558.4,612023.4,743174.1,672737.2,682241.0,719695.1,703550.1,616050.6
120,1002435,325120,Chemicals,705789.35,819053.45,823796.32,747630.65,647101.08,632469.67,769301.2,607535.87,603018.4,678031.7
123,1000274,331110,Metals,4069594.746,4377141.214,4419090.466,4417271.59,4569484.428,4485150.388,5265994.726,4159746.102,4595951.786,4521362.892
125,1003129,211130,"Petroleum and Natural Gas Systems,Suppliers of CO2",36973.562,34639.72,38029.658,37900.458,23633.72,40335.502,51722.522,72840.556,63647.75,66978.32
126,1006088,562212,Waste,3682.25,3263.25,1319.5,2535.25,1463.25,3591.5,1790.25,1742.25,4465.378,3650.0
127,1005149,325193,Other,162045.388,165457.576,139472.624,77045.66,78167.156,71172.132,75059.768,78377.306,74912.418,76104.564
130,1007917,322110,"Pulp and Paper,Waste",314977.706,300705.582,301505.568,270939.484,383602.694,363902.224,347879.576,320569.344,351220.778,330183.672
131,1007272,314110,Other,45423.68,44824.632,46052.764,48073.968,42091.792,43488.384,44145.568,52679.744,48365.818,54614.088
132,1006276,562212,Waste,67261.5,68477.75,62364.0,47674.5,44025.5,156346.5,134991.75,107917.5,84452.25,75360.75
134,1003402,325199,Chemicals,46683.212,45589.318,52779.69,45153.718,48002.72,69219.14,81715.792,53608.55,75390.22,83870.18
135,1004307,325180,Chemicals,80774.496,75618.916,64486.556,80166.848,78051.756,79732.5,84674.78,77119.408,73685.672,90107.23
136,1001877,331313,"Metals,Power Plants",5963440.226,5235337.915,5379019.292,3467216.613,4457285.265,6827547.906,6777676.776,6608802.944,6528200.042,6875397.982
137,1003562,331313,"Metals,Waste",595364.455,1060050.628,1130624.339,1092946.06,1261363.815,1195785.657,1326684.172,1234637.214,1146835.2,1126012.05
139,1003201,331313,"Metals,Waste",14102.448,15203.794,18145.736,17378.59,191045.788,959990.606,935628.118,922339.436,843830.086,825303.04
140,1003147,562212,Waste,68070.5,70912.0,71551.75,75342.5,52875.75,44551.0,47475.0,44947.75,40473.5,39429.25
141,1006045,331314,Metals,156516.76,179769.124,187818.592,154615.868,172195.452,178364.528,172712.0,165242.528,165328.476,164487.28
142,1004335,562212,Waste,43657.25,46441.25,53319.0,49114.5,53974.5,53404.5,58810.5,60012.75,53496.25,54646.75
143,1005862,336415,Other,26484.0,24633.956,24197.208,23652.104,23759.564,18553.322,30310.774,31156.97,28793.558,28584.808
145,1007192,562212,Waste,68215.896,67800.574,66063.768,63782.424,57309.94,57499.612,52747.006,51907.388,52595.974,55266.512
146,1005887,211130,Petroleum and Natural Gas Systems,43989.846,57690.338,60914.264,59832.174,58883.82,63911.622,150528.32,119187.836,93604.524,87268.862
147,1005705,486210,Petroleum and Natural Gas Systems,65609.304,101106.226,90212.36,95617.09,90468.41,89871.362,93088.1,85767.48,84721.982,91155.658
148,1001559,486210,Petroleum and Natural Gas Systems,77053.26,90168.114,85176.18,85971.326,79420.952,82023.342,83451.536,82763.24,76060.516,82076.492
149,1001560,486210,Petroleum and Natural Gas Systems,54224.446,61352.476,56983.786,57930.382,51308.858,54303.896,55522.992,54950.744,54771.844,50525.216
150,1000245,486210,Petroleum and Natural Gas Systems,81961.292,104568.462,92962.85,92220.652,94331.394,93322.2,97142.334,92617.802,81871.444,92915.152
151,1001558,486210,Petroleum and Natural Gas Systems,53155.45,104653.912,93306.098,91983.354,93117.25,96939.486,98527.48,95901.19,91421.506,84781.182
152,1007645,562212,Waste,60734.548,62524.848,45358.194,40051.694,47109.694,47414.944,41422.844,38990.846,57909.334148,61382.522
156,1000048,336350,Other,22579.148,25575.59,24780.11,22204.068,25660.38,26049.738,28704.902,24677.988,26824.62,25287.094
157,1004327,331313,Metals,48298.968,63391.412,66296.4,60905.82,22802.664,53956.696,54560.044,49.9,26206.056,290.79
158,1007622,324110,"Petroleum Product Suppliers,Refineries",354930.17,571124.792,551376.858,550753.272,515519.334,445406.45,535457.634,530019.408,533875.784,456684.814
159,1007291,562212,Waste,16106.03,15695.512,19372.626,23331.186,28554.438,29709.442,31275.47,32301.468,36548.404,26094.9
161,1007401,325194,Chemicals,48314.968,60866.23,45397.48,24325.708,8087.82,17892.532,35043.468,36442.11,28250.844,39968.89
162,1007263,325193,"Other,Suppliers of CO2",35520.616,39213.852,36733.812,37226.56,39592.4,37739.108,38545.104,35691.716,35785.216,36610.912
163,1007264,325193,Other,15623.092,64768.456,61714.068,64287.008,66551.5,67408.496,66590.9,63403.812,54795.844,63501.56
164,1003268,331110,Metals,30371.288,34862.128,33551.38,33929.94,32031.844,41463.996,59393.212,57712.064,64545.108,65345.11
165,1005184,486110,Other,63920.46,56021.94,62235.316,62235.416,62664.064,85080.126,91022.79,92324.572,91589.026,92640.196
166,1005781,486110,Other,26580.02,26807.414,29009.724,27560.35,33640.116,35499.838,80079.608,100292.59,90501.032,75499.388
167,1005491,331110,Metals,467304.04,524311.976,519879.392,519993.192,488125.312,447237.116,441289.688,341648.364,286067.372,244570.028
168,1005712,311313,Minerals,252307.822,279557.628,274006.84,285936.05,268434.222,271558.444,293749.222,332392.618,296307.61,301143.43
169,1005707,311313,"Minerals,Waste",349799.658,340142.542,309560.626,350522.766,338370.852,359716.252,370065.748,421932.68,319180.27,328032.212
170,1006412,311313,"Minerals,Waste",285996.076,274333.674,258899.068,272002.238,261186.878,277341.29,327914.026,299962.02,294606.2,318097.474
171,1007178,221112,Power Plants,22422.116,28256.744,20672.172,14838.344,28254.144,39003.504,17007.536,508.448,4299.584,5046.732
172,1004732,325199,Chemicals,83200.736,71988.028,79810.0,77351.308,75150.468,76007.364,78388.004,83257.136,62250.916,40099.648
173,1005432,481111,Other,40397.118,42300.298,40061.766,37408.97,35093.478,38144.708,43234.474,41971.868,42154.82,45317.504
174,1004417,562212,Waste,129155.5,154659.35,166702.65,141660.0,110888.75,94792.05,72595.6,55548.1,87070.8,89404.2
175,1005327,331511,Metals,147810.112,152462.54,170180.712,154579.824,148682.196,155966.068,137031.772,131035.43,115849.754,126332.406
176,1008041,212325,Other,52817.392,70691.08,82043.552,77109.878,72511.058,105591.724,109726.094,73146.894,70581.548,97287.54
177,1006354,311313,"Minerals,Waste",260091.952,326691.436,367652.52,355411.914,331989.602,320408.082,314074.976,308712.23,305108.52,298458.88
178,1005751,311313,"Minerals,Waste",314639.96,415704.424,371486.694,390925.37,332894.782,336140.24,635740.522,678260.99,593082.56,528063.77
179,1005753,311313,"Minerals,Waste",417797.612,539882.714,505765.7,487506.244,470118.792,470457.868,461472.608,473164.45,443897.4,417387.53
180,1006877,311313,"Minerals,Waste",277534.058,324868.332,364565.588,351661.338,337650.504,318468.89,338731.916,324340.75,321415.7,312940.56
181,1002552,562212,Waste,233353.646,174306.526,149208.85,143362.98,144792.476,136427.432,105823.364,96413.254,107678.65,110730.25
183,1000007,327420,Minerals,14084.496,13131.4,10859.36,4145.684,0.0,0.0,0.0,0.0,0.0,0.0
184,1005175,327420,Minerals,94862.692,87556.12,82726.688,93129.6,88482.716,78356.904,75865.064,67626.896,55932.84,58842.528
185,1004845,327420,Minerals,40892.996,36869.012,40692.896,41105.196,39397.752,39516.152,39245.352,38090.556,35281.168,34112.974
186,1007404,327420,Minerals,65195.504,62778.864,59485.626,62691.764,57719.832,55647.34,55317.992,50320.56,46782.224,36797.812
187,1005590,324110,"Petroleum Product Suppliers,Refineries",115865.742,126708.524,131504.374,116210.108,135114.464,147292.444,158750.984,164521.724,168483.044,169140.076
188,1001860,311314,Other,137418.732,126523.624,249496.36,120164.948,125055.52,125480.228,118130.756,116651.06,115813.564,118185.804
190,1001962,325110,Chemicals,670040.384,709022.046,721116.864,623078.196,684726.564,666631.216,618521.734,712052.54,702868.244,622859.104
192,1005072,325412,Chemicals,49616.696,35993.516,25065.296,28148.594,28167.744,31530.738,28997.18,28273.752,27348.258,28911.132
193,1008730,221112,Power Plants,1353140.936,1336518.648,1506490.916,1175376.796,1011676.0,1277223.114,906385.092,1040867.092,1347176.6,66018.156
197,1004746,334413,Other,14360.348985,15708.041182,12824.320985,22180.620728,38568.970188,33621.563185,29600.923591,25278.5256,18086.123,28013.048
198,1006810,327212,Minerals,39873.098,38838.146,45362.322,40985.736,45393.678,46090.316,41483.18,43905.632,39116.348,42428.492
199,1004508,327212,Minerals,61440.352,55760.416,55299.768,64951.288,91434.152,106202.008,87804.308,140072.204,136866.66,133960.624
200,1007341,562212,Waste,126256.15,170622.048,173166.8,631853.65,533817.3,500006.3,515510.2,440102.5,342506.3,372373.12
203,1007839,562212,Waste,54720.5,49169.75,31234.25,35561.75,33685.5,43313.5,47480.5,39504.75,39231.58305,61575.0
204,1005392,562212,Waste,97542.75,76853.5,75141.75,73602.25,66671.5,67907.0,78159.0,76326.5,15865.5,113970.25
205,1002263,325199,Chemicals,118436.624,106557.988,118095.162,114464.926,114318.714,116489.408,93785.986,91275.096,94617.462,82203.814
206,1002576,312120,"Other,Suppliers of CO2",25378.7,29877.306,29102.616,30321.76,32473.184,32283.714,30975.87,30679.16,28831.21,26161.93
207,1006111,312120,Other,32337.488,32956.234,34123.424,36628.716,35475.088,42593.62,40957.316,42323.74,42526.5,47375.47
208,1002867,312120,Other,31614.708,33486.66,34793.624,36872.454,39346.802,37347.586,36976.326,41668.33,46837.68,43167.02
209,1003352,312120,Other,42067.97,47110.172,48398.816,48179.412,49267.764,51002.108,50492.658,53331.394,54166.142,56522.68
210,1003176,312120,Other,37074.86,36811.212,34631.02,38003.708,41952.392,44308.876,46070.974,47023.37,48433.068,49873.72
212,1003224,312120,Other,44712.56,34417.066,29111.156,25436.71,27076.334,23664.494,26795.364,27840.846,16254.84,18411.48
213,1002915,312120,"Other,Suppliers of CO2",13396.914,14449.808,16030.656,16262.098,16019.45,15863.69,15676.1,16401.246,18221.462,20667.112
214,1006147,312120,Other,55506.09,54200.224,51651.508,60015.374,62602.2,57552.828,62349.228,60741.064,59090.37,60739.34
215,1006904,312120,Other,19672.81,21322.41,21465.156,21797.514,24014.658,24319.392,25874.782,30972.0,32203.23,31384.06
216,1003525,312120,Other,21566.952,22373.696,22080.746,20494.31,20623.052,22853.93,32059.232,30682.67,38835.7,44548.31
217,1005490,221112,Power Plants,1234.696,1762.444,22759.664,9915.712,15447.492,28432.792,70640.384,75229.516,54176.996,77855.856
218,1006178,562212,Waste,18417.5,20231.0,19940.5,20481.25,21710.75,35440.0,46168.5,47651.5,36172.25,33373.25
220,1004929,486210,Petroleum and Natural Gas Systems,24488.47,35104.286,37415.88,29115.002,20184.898,36852.092,31845.34,41799.084,50934.928,45773.022
221,1004926,486210,Petroleum and Natural Gas Systems,33986.886,43023.962,39781.964,39012.722,32178.398,44069.914,40763.508,54640.256,59990.098,72957.996
222,1005958,486210,Petroleum and Natural Gas Systems,34871.132,40072.112,25487.116,30541.892,27648.256,35548.73,40539.358,32888.036,22652.876,43658.166
223,1004928,486210,Petroleum and Natural Gas Systems,33095.096,30848.898,43101.916,45728.402,30363.386,53849.948,38612.372,47176.814,54115.306,49436.856
224,1005235,486210,Petroleum and Natural Gas Systems,56135.652,78275.562,8498.928,4487.74,3722.248,11106.89,18478.0,48010.134,68155.112,90169.088
226,1009589,486210,Petroleum and Natural Gas Systems,45259.098,43442.996,6460.934,8442.628,11373.422,12554.124,33239.686,50034.75,36764.596,71385.332
227,1007403,486210,Petroleum and Natural Gas Systems,3473.146,6053.044,3969.246,46210.44,36644.988,63867.294,60786.548,56430.384,71951.61,71315.976
229,1004932,486210,Petroleum and Natural Gas Systems,17093.748,29297.804,16176.008,43449.704,43718.116,45439.652,46371.99,50018.798,60793.636,58262.534
230,1004930,486210,Petroleum and Natural Gas Systems,31541.952,37604.78,39630.474,34587.784,30350.36,36941.186,36680.122,38985.576,52994.278,58497.566
233,1004776,486210,Petroleum and Natural Gas Systems,32690.752,43252.686,37106.13,32385.99,30249.604,37299.936,40340.376,39938.874,55344.324,37520.238
235,1004923,486210,Petroleum and Natural Gas Systems,24240.024,36547.82,3202.144,42062.65,24547.824,46210.192,48649.274,49266.624,44583.622,48014.428
236,1004935,486210,Petroleum and Natural Gas Systems,13799.252,30200.748,28144.4,28494.85,13460.456,28716.496,31042.138,31346.086,33722.838,49113.822
239,1005953,486210,Petroleum and Natural Gas Systems,25497.314,40736.02,40574.06,28077.256,45133.288,39414.474,38201.914,48404.364,56084.172,122193.344
240,1005242,486210,Petroleum and Natural Gas Systems,41047.908,39298.72,34101.742,11480.068,6034.382,5861.188,27042.512,40605.894,46235.012,65620.044
241,1005060,486210,Petroleum and Natural Gas Systems,40575.876,42385.014,45374.498,47425.088,43224.576,48590.796,45433.734,74939.592,62747.092,179246.89
242,1009733,486210,Petroleum and Natural Gas Systems,12695.064,17401.748,25292.67,34302.92,16998.202,27648.174,28460.408,28950.972,37398.868,36397.808
243,1009608,486210,Petroleum and Natural Gas Systems,1228.0,628.45,4984.136,23964.218,25322.212,23238.57,26987.154,25230.614,28192.158,29012.258
244,1004769,486210,Petroleum and Natural Gas Systems,14077.108,23817.726,29109.054,29846.598,30728.514,35465.396,36513.376,48077.976,54014.47,47566.072
245,1005243,486210,Petroleum and Natural Gas Systems,40130.972,29854.404,41097.506,42861.804,35430.036,28201.308,28947.502,31077.806,33189.594,54666.782
246,1009590,486210,Petroleum and Natural Gas Systems,3370.2,3307.0,2092.196,39300.228,52104.902,38550.042,49525.49,51714.006,35002.256,61058.336
247,1004937,486210,Petroleum and Natural Gas Systems,12660.814,32166.602,20671.136,18203.596,17387.306,24772.294,30186.744,30330.71,28140.716,26553.024
250,1004925,486210,Petroleum and Natural Gas Systems,7890.082,10492.02,19193.29,30437.062,24223.232,30611.562,27639.176,31913.77,19613.758,43236.842
252,1004933,486210,Petroleum and Natural Gas Systems,28735.016,26895.074,30547.706,34677.296,29159.34,37430.39,43003.912,46045.42,46636.952,62652.33
253,1004802,211130,Petroleum and Natural Gas Systems,3221.338,37950.362,29553.48,30531.93,62167.184,23031.852,32381.448,18498.146,15557.102,27456.674
255,1007710,562212,Waste,37467.3,66396.7,54443.95,40645.7,44410.45,45817.45,47266.998,33009.998,33973.153081,27624.497
256,1004003,562212,Waste,68624.0,70445.5,68963.0,66345.75,117603.25,150976.0,119529.25,169137.5,132469.25,119660.0
257,1001908,325311,Chemicals,442395.318,475614.156,549571.288,211550.216,363424.878,431364.514,432639.172,396908.456,415246.538,456451.424
258,1006777,562212,Waste,494306.75,487236.5,478385.1,236058.45,239621.25,210859.75,396934.5,414912.25,358503.5,273994.5
259,1004352,562212,Waste,206126.396,209598.578,112363.492,76800.132,218147.084,167600.686,230777.842,186290.92,222225.246,46928.298
260,1000793,325211,Other,45035.58,41793.392,20319.524,35502.916,46479.524,44952.18,46156.876,41066.09,45754.128,44397.032
261,1010353,211130,Petroleum and Natural Gas Systems,60413.092,48406.102,33856.314,34288.062,36750.058,52847.304,78201.828,70259.79,64782.442,59753.042
262,1005669,322121,Pulp and Paper,87841.182,97890.66,106656.064,105907.36,102835.542,108148.398,102058.466,103909.9,106758.94,103608.14
263,1002596,322230,Pulp and Paper,29345.04,31911.28,38053.156,38077.356,37385.76,39074.952,39755.9,39428.052,33369.12,26941.348
265,1001423,221112,Power Plants,81109.748,93385.452,80652.948,39068.804,14452.748,14910.996,9899.312,15161.544,13593.548,7065.472
266,1001422,221112,Power Plants,1659120.48,1419156.086,1391552.284,1278457.4,1200640.192,854171.828,748285.024,784934.04,986293.54,779316.104
269,1005906,327213,Minerals,36381.732,34652.888,33083.292,31455.8,16397.204,15722.152,35595.436,6638.5,40057.576,38303.68
272,1005385,331210,Metals,57855.632,61851.468,65754.252,63932.36,59131.628,58938.628,63839.56,63839.56,64281.308,64382.408
273,1002916,311221,"Other,Waste",821896.492,1342402.274,1404742.84,1346359.176,1361500.39,1160743.402,1206165.178,1124504.682,1218405.518,1153870.982
274,1003215,311224,Other,52801.552,57883.732,56978.536,56063.388,59627.076,63928.06,52048.75,53928.896,54888.444,41942.584
