,Facility Id,Primary NAICS Code,Latest Reported Industry Type (sectors),2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
3993,1007957,331318,Metals,24895.956,31543.232,31030.484,29720.488,34253.372,32992.476,32928.476,42619.24,41018.19,39553.41
3994,1006670,221112,Power Plants,789264.734,895467.032,883892.31,862843.216,846224.388,952058.51,915443.444,961976.0,913639.0,992376.22
3995,1003420,212324,Other,56946.524,66090.242,78128.644,77315.308,66894.448,61624.668,64390.6,65058.304,64081.008,74982.114
3996,1005095,325211,Other,57930.732,55671.84,58305.98,57463.084,55304.3,57230.9,54110.4,51299.75,46436.7,1575.05
3998,1006418,562212,Waste,1478.25,872.5,1526.5,2906.612,2307.342,2350.832,2323.456,2891.282,3529.097245,4666.974441
3999,1002082,325193,"Other,Suppliers of CO2,Waste",73560.972,72827.224,64305.002,63171.454,62132.91,52649.45,53532.098,55236.538,55510.534,58011.526
4000,1003550,611310,Other,34167.572,38378.756,36269.264,33886.472,22951.564,33789.572,36323.064,35631.63,33021.88,39640.02
4002,1001765,221112,Power Plants,88945.902,110340.864,116718.45,113796.354,113491.96,120016.542,125361.546,121093.274,126140.338,121285.92
4003,1001768,221112,Power Plants,31035.25,52395.654,80463.45,78620.432,84001.344,122959.412,125970.714,144662.662,142840.492,154535.598
4005,1004753,311999,Other,112276.528,109037.04,95045.092,94213.496,104492.756,108103.492,100733.92,94251.796,88332.268,83582.836
4006,1004011,562212,Waste,123744.0,140306.5,135627.75,132410.25,153326.25,212920.75,185492.0,150220.0,149112.5,152160.0
4007,1002211,311230,Other,13480.5,17175.136,22041.668,24121.06,28070.944,30777.184,32125.18,33071.076,31682.38,33527.524
4008,1002215,311230,Other,29405.0,29344.3,28469.37,26749.924,25865.684,28509.424,26412.784,26769.686,27383.672,29049.364
4009,1002213,311230,Other,31174.632,32328.372,32836.774,33787.17,36868.312,34692.72,30828.318,35378.116,36814.712,37461.16
4010,1002258,311230,Other,26467.4,26321.1,24542.108,27454.696,27761.296,28554.292,21560.668,24438.708,25860.65,25536.104
4011,1007688,562212,Waste,6526.5,5141.75,5415.75,8088.0,7643.5,8037.25,6540.85,8850.35,9949.022307,8378.519
