,Facility Id,2020 Total reported emissions from Gathering & Boosting ,2019 Total reported emissions from Gathering & Boosting ,2018 Total reported emissions from Gathering & Boosting ,2017 Total reported emissions from Gathering & Boosting ,2016 Total reported emissions from Gathering & Boosting 
228,1012785,119607.304,157470.604,142160.774,132654.092,132050.904
229,1012359,203178.934,285225.628,146206.872,77476.826,60902.638
230,1012787,134493.662,145951.184,89022.116,134824.478,127482.848
231,1012818,256133.162,249227.116,257751.682,192489.884,211201.132
234,1012529,536260.764,455558.754,240705.054,260180.502,257656.132
236,1012450,53613.308,94238.53,105153.938,110946.882,112772.032
237,1012778,263470.754,294597.838,406232.91,420256.094,390683.698
239,1012572,945962.584,1103303.3,709887.186,568972.13,608483.044
240,1012484,250666.928,271167.622,340402.17,359499.882,382299.866
241,1012497,36340.778,52563.982,35150.876,28174.804,27439.158
242,1012483,97158.382,112223.124,113265.87,130596.568,115097.34
243,1012504,588415.118,539612.706,435020.812,458658.816,459882.1
244,1012503,270924.826,322825.086,363694.428,331665.448,307224.976
245,1012479,168977.73,274505.506,254017.66,259002.58,230093.316
246,1012496,728837.812,614516.16,492282.912,496869.9,442341.114
248,1012433,297980.428,135877.696,216988.446,102654.966,110850.836
249,1012358,249589.458,277788.614,277486.134,369126.242,92065.672
250,1013964,83060.186,74636.066,70193.726,67304.434,63023.194
251,1012638,350243.998,428130.646,454163.966,518322.644,794423.52
258,1012764,1014.55,1058.55,1058.55,1057.3,988.8
259,1012583,388493.384,563256.918,342251.88,352865.974,360795.608
260,1012340,29870.37,29492.812,27860.268,16322.898,28631.458
261,1012332,306825.52,329975.008,369226.934,313945.248,318575.484
262,1012336,135221.638,141613.772,132435.004,119648.332,75750.768
264,1012322,75882.394,75312.18,79141.52,77000.874,61426.24
268,1012598,66818.87,92223.894,92434.294,84263.088,67577.506
269,1012659,115562.274,202771.142,127191.198,136375.842,121450.092
270,1012658,740450.928,992874.498,824683.632,707131.92,486302.836
271,1012619,64877.26,66384.59,75799.966,74801.238,98718.052
272,1012667,268961.98,254720.284,197784.888,180135.234,128585.506
273,1012618,35373.716,34420.216,29821.386,15050.204,27150.438
274,1012551,1073213.612,743468.402,817979.646,536198.526,589630.328
276,1012835,105416.32,80668.648,100524.908,82569.342,44461.014
277,1012760,63500.494,89530.31,71447.396,85625.356,42581.312
280,1012707,72562.052,65261.668,67938.804,69331.998,73866.49
282,1013529,633071.202,751613.07,814633.544,886284.65,1057113.628
284,1012213,1144483.248,1034426.386,306232.06,703618.734,649983.7
290,1012321,1199855.142,1091560.218,1064595.66,788382.584,580895.14
292,1012329,275918.028,259966.908,73729.07,92281.798,203253.578
294,1012582,298808.822,291136.596,186126.742,186900.4,162048.512
296,1012797,2462.294,20722.914,28425.144,30556.94,31649.332
297,1012686,504124.452,508989.676,508028.314,508260.014,501855.864
300,1012192,346668.51,316345.112,299855.658,286775.872,289269.688
306,1012725,20506.192,5842.55,19077.9,25641.072,27610.66
309,1012721,265819.238,350227.484,291030.216,228928.418,202966.802
310,1012535,76831.834,90276.258,112462.07,126438.178,144444.23
315,1012735,44230.496,48445.874,48834.174,21424.822,87310.9
318,1012737,195356.994,185028.282,191021.912,204628.036,181035.178
319,1012769,128950.824,120097.962,142406.832,143718.028,131425.962
321,1012143,2043460.182,2429710.578,2471677.444,2486521.84,2750198.648
322,1012300,107839.472,135826.062,134016.85,89740.882,137413.652
323,1012310,32301.142,36634.026,55429.456,61484.218,43489.852
327,1012744,20179.69,21025.936,26742.714,47362.69,30438.154
328,1013011,120005.574,101648.578,93713.724,73046.306,84035.07
329,1004651,43273.252,33900.626,32067.144,31461.786,29368.196
330,1012586,915345.586,546889.544,233494.742,87278.192,70288.246
331,1012603,24076.566,24141.416,28097.254,28588.538,26938.078
333,1012668,69944.726,74496.112,66132.944,66289.944,96874.938
336,1012615,66545.192,64687.04,94463.638,85064.94,74951.884
337,1012622,69377.674,47354.04,52376.494,63750.404,52105.11
339,1012631,169151.136,73824.492,239871.69,250732.042,243646.09
340,1012538,43838.202,53295.868,52760.904,54634.35,49999.346
342,1012720,81418.306,90459.52,100976.976,96098.548,92716.16
343,1013065,288935.088,287061.084,262289.126,220126.408,222027.354
344,1012773,4562.05,4641.442,5694.79,7747.49,31562.088
345,1012806,356313.714,518033.08,361726.698,506702.78,211834.534
346,1012814,9715.4,13012.81,16309.598,34324.154,51315.808
349,1012205,134682.714,115729.576,88916.714,69261.74,113668.402
350,1013310,78053.14,95941.314,100376.24,107156.024,112253.65
351,1012507,103393.28293239619,108171.47690814007,118832.91120125593,94790.854,44304.292
352,1012472,80394.87900833938,78340.28966905027,75659.55145583139,76386.288,55733.472
353,1012466,191496.90025088322,179280.32680597156,181005.22190281952,181826.442,177420.494
354,1012522,380811.01913074305,467309.1265858198,505632.3721845965,466539.002,425139.518
355,1012523,53589.43297859183,71270.4436765129,82615.60077121783,92435.938,89575.854
356,1012526,128132.52121889088,121275.8414359582,93274.03179369158,76802.128,96379.804
357,1012495,228112.5136247171,222285.96216998567,200906.65235586016,222562.418,267262.642
358,1012470,45976.063755619,67799.99920796629,48250.82784215912,55754.614,77514.92
359,1012500,2464731.24509941,2101875.442276759,2000329.2769199759,1640320.862,1562381.832
361,1012482,285314.48,334880.942,331144.304,320644.248,271215.804
362,1012177,275908.042,236425.718,157956.45,141137.9,137194.622
363,1008888,60895.198,55363.768,43866.016,60897.848,41698.37
365,1012680,84947.354,93834.068,74299.08,118124.544,102640.83
366,1012317,245263.39,125282.12,256432.892,315937.058,633418.664
368,1012822,97253.664,65742.1,71432.974,70502.484,68928.284
369,1012833,292388.256,345596.556,374930.37,399546.152,343306.17
371,1012594,128671.51,143010.112,67491.506,66502.338,28258.57
375,1012365,365596.246,287447.568,52114.746,57338.14,49205.71
377,1012457,239246.912,166191.44,428834.956,379238.114,410159.274
378,1012446,104177.522,115400.594,128362.894,118157.292,137706.56
380,1012461,484536.814,547502.456,356516.374,284230.882,314292.498
381,1012590,36342.456,37834.302,41213.99,43629.54,60315.066
382,1012828,54198.044,59800.948,62884.992,69911.284,70181.036
384,1012233,183881.298,211334.846,247517.002,246608.082,270964.886
385,1012236,2339475.416,2396165.638,2068819.53,1869196.716,1757936.55
386,1012218,19574.678,34632.848,40616.386,47034.338,74760.966
387,1012195,51911.152,51036.754,49803.608,37175.158,27554.844
388,1012231,149099.346,161046.152,154842.198,159440.936,158998.886
389,1012244,292585.222,315892.802,305558.898,282808.358,275089.118
390,1012245,492165.838,492393.048,447979.114,453615.688,448137.64
391,1012189,45389.196,25051.672,43805.612,53883.342,95332.984
392,1012186,422429.442,426595.814,417704.912,405812.088,446359.898
393,1012193,1146389.312,1119117.168,1656723.34,1276641.248,1264942.912
394,1012232,269154.226,264205.406,324753.71,327227.684,374380.976
395,1012633,91265.448,109048.294,95722.082,48910.642,26931.406
398,1012560,204046.594,181872.752,120758.474,179031.918,177642.734
399,1012596,141885.87,138762.678,108122.068,179495.036,214062.004
400,1012530,43801.964,27014.834,27075.002,32763.696,29402.416
401,1012595,816463.352,745512.262,611890.692,918724.616,948206.146
402,1012559,361773.154,225944.02,243458.22,259629.104,415480.016
403,1012552,228935.52,240615.222,243171.44,276490.404,265687.942
404,1012539,47250.762,41304.362,35607.026,45237.486,44625.718
405,1012568,13959.084,18206.766,800.15,147032.728,119554.284
406,1012545,324994.864,371373.736,290344.254,489785.468,531444.026
407,1012544,69958.006,78644.008,49822.682,55779.17,56570.916
408,1012541,1108355.662,787188.106,567079.196,360068.52,185242.064
411,1012581,24112.266,21711.634,15253.752,40695.268,40638.552
