,Facility Id,Facility Name,State,Latitude,Longitude,Primary NAICS Code,Industry Type (sectors),CO2 emissions (non-biogenic) 
3575,1011942,MC 254 A-Delta House,LA,28.75448,-88.26732,211120,Petroleum and Natural Gas Systems,279490.8
3576,1009922,MC 365 A (Corral),LA,28.600964,-89.31131,211130,Petroleum and Natural Gas Systems,22417.4
3577,1013229,MC 437,LA,28.5735,-87.9342,211120,Petroleum and Natural Gas Systems,42276.0
3578,1002139,MC 736 A-Thunder Hawk (Complex ID # 2045),LA,28.2672,-88.3989,211120,Petroleum and Natural Gas Systems,72367.0
3579,1010221,MC 773 A (Devils Tower),LA,28.20876,-88.73474,211130,Petroleum and Natural Gas Systems,61508.1
3580,1002679,MC 807 A,LA,28.169524,-89.222876,211120,Petroleum and Natural Gas Systems,181540.7
3581,1011639,MC 807 B,LA,28.159885,-89.239127,211120,Petroleum and Natural Gas Systems,101360.4
3582,1002569,MC 809 A,LA,28.15402604,-89.10355357,211120,Petroleum and Natural Gas Systems,213927.8
3583,1002283,MCCAIN FOODS POTATO FACILITY,ME,46.663226,-67.904102,311411,"Other,Waste",17536.9
3584,1002284,MCCAIN FOODS USA INC,WI,44.454601,-89.540802,311411,"Other,Waste",37320.8
3585,1002285,MCCAIN FOODS USA INC,ID,42.535437,-113.84516,311411,"Other,Waste",74611.2
3586,1002287,MCCAIN FOODS USA INC,WA,46.839167,-119.174722,311411,"Other,Waste",34043.8
3588,1002255,MCFS-CONWAY FRACTIONATOR,KS,38.3775,-97.833056,211130,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",131337.3
3589,1007580,MCGILL ROAD C & D LANDFILL,MI,42.294814,-84.358853,562212,Waste,675.9
3590,1004572,MCKAY BAY FACILITY,FL,27.94934,-82.42098,562213,Waste,104700.1
3591,1005530,MCKEAN CNTY LDFL,PA,41.665943,-78.637962,562212,Waste,79.5
3593,1002541,MCKITTRICK LIMITED,CA,35.44735,-119.08652,221112,Power Plants,8515.6
3595,1007667,MEADOWFILL LANDFILL,WV,39.33861,-80.25694,562212,Waste,1577.4
