fac_id,fac_name,state,latitude,longitude,naics,sector,emissions_2020,co2_emissions_2020,emissions_2010,co2_emissions_2010,max_capacity,fuel_type
1002324,IMCO RECYCLING OF OHIO LLC,OH,40.37,-81.35,331314,Metals,67821.94,67751.8,64529.21,64462.9,34.0,Natural Gas
1004597,IMERYS CARBONATES LLC,AL,33.16,-86.3,212312,Other,39733.9,39692.8,32500.33,32466.9,49.0,Natural Gas
1004747,IMERYS Deepstep Road Plant,GA,33.01,-82.85,212324,Other,34491.37,34456.3,38402.94,38360.1,25.1,Natural Gas
1004870,IMERYS SANDERSVILLE CALCINE PLANT,GA,32.96,-82.82,327992,Minerals,40135.7,40094.6,45860.78,45813.6,20.0,Natural Gas
1003103,IMPERIAL Landfill,PA,40.43,-80.29,562212,Waste,34806.85,53.6,29558.9,41.4,0.125,Petroleum Products
1004033,INCOBRASA INDUSTRIES LTD,IL,40.76,-88.01,311224,Other,53021.5,52966.7,27285.95,27258.0,145.0,Natural Gas
1003130,INDIAN BASIN GAS PLANT,NM,32.47,-104.57,211120,Petroleum and Natural Gas Systems,8793.72,8483.9,81436.84,81353.0,42.8,Natural Gas
1006342,INDIAN SPRINGS GAS PLANT,TX,30.76,-94.7,211130,Petroleum and Natural Gas Systems,102953.84,99996.7,72066.08,71992.1,9.89,Natural Gas
1003713,INDIANA UNIVERSITY,IN,39.16,-86.52,611310,Other,90219.66,90011.2,184764.01,183401.0,217.0,Coal
1002879,INEOS ABS,OH,39.13,-84.71,325211,Other,30961.03,30928.7,91554.56,90874.7,116.0,Natural Gas
1003186,"INEOS Americas, LLC",TX,29.73,-95.15,325194,Chemicals,55354.69,55297.7,62124.01,62059.0,250.0,Natural Gas
1004368,INEOS CHOCOLATE BAYOU PLANT,TX,29.23,-95.19,325211,Chemicals,2263352.35,2248868.5,2039732.37,2036590.4,417.3,Natural Gas
1002955,INEOS NITRILES USA LLC,OH,40.71,-84.13,325199,Chemicals,115908.86,115869.4,118490.24,118459.0,80.0,Natural Gas
1003451,INEOS NOVA LLC BAYPORT SITE,TX,29.6,-95.01,325211,Other,349962.73,349601.6,322969.03,322635.0,315.0,Natural Gas
1003429,INEOS NOVA LLC Texas City Site,TX,29.36,-94.93,325199,Chemicals,68820.22,68380.6,90471.0,90471.0,328.5,Other
1006264,INEOS POLYETHYLENE,TX,29.72,-95.09,325211,Other,140509.94,140319.2,113058.76,112951.9,107.3,Natural Gas
1004227,INEOS POLYPROPYLENE,TX,29.72,-95.09,325211,Other,11955.66,11943.6,6750.58,6744.0,48.31,Natural Gas
1001839,"INEOS Pigments USA, Inc.- Plant 1",OH,41.89,-80.75,325130,Chemicals,132824.48,132790.5,148399.98,148366.0,50.0,Natural Gas
1006866,"INEOS Pigments USA, Inc.- Plant 2",OH,41.89,-80.76,325130,Chemicals,322696.84,322487.5,311732.54,311538.0,65.1,Natural Gas
1000452,INEOS US Chemicals Company CR Plant,SC,32.97,-79.89,325110,Chemicals,105130.84,105019.5,116495.61,116374.8,390.0,Other
1006259,INEOS US Chemicals Company � Naperville Campus,IL,41.81,-88.15,541380,Other,54380.8,54324.9,40865.29,40822.8,94.0,Natural Gas
1007512,INGEVITY SC LLC CHARLESTON CHEMICAL PLANT,SC,32.9,-79.97,325194,Chemicals,18732.08,18712.9,25849.47,25816.9,45.0,Natural Gas
1002248,"INGEVITY SOUTH CAROLINA, LLC - DeRidder Plant",LA,30.83,-93.29,325194,Chemicals,58467.33,58406.5,49995.41,49943.9,2.3,Petroleum Products
1003749,INGEVITY VIRGINIA CORPORATION - CARBON PLANT,KY,36.95,-89.07,325998,Chemicals,80127.85,80045.1,72179.73,72105.2,130.0,Natural Gas
1002632,INGREDION INCORPORATED,IA,41.97,-91.67,311221,Other,106438.15,106327.7,123991.33,123862.8,185.0,Natural Gas
1005752,INMETCO,PA,40.86,-80.26,331492,Metals,51011.19,51009,61292.0,61292.0,2.0,Natural Gas
1004371,INTEL CORPORATION - Ocotillo Campus,AZ,33.25,-111.88,334413,Other,537326.63,78247.4,29365.14,29335.0,52.0,Natural Gas
1003997,INTEL CORPORATION - RIO RANCHO FACILITY,NM,35.23,-106.66,334413,Other,52823.03,18460.5,36061.16,36023.9,52.5,Natural Gas
1004006,INTEL CORPORATION RONLER ACRES CAMPUS,OR,45.54,-122.92,334413,Other,410598.65,73767.9,37134.61,37096.8,32.7,Natural Gas
1003288,INTERNATIONAL MATEX TANK TERMINALS - ST ROSE TERMINAL,LA,29.94,-90.33,493190,Other,14616.84,14602,38691.39,38648.8,0.175,Petroleum Products
1005653,INTERNATIONAL PAPER - BOGALUSA MILL,LA,30.78,-89.86,322130,Pulp and Paper,125076.3,115139.9,162880.18,120133.0,41.19,Natural Gas
1006626,INTERNATIONAL PAPER - HENDERSON MILL,KY,37.82,-87.59,322130,Pulp and Paper,49461.56,49410.6,52344.25,52289.7,220.0,Natural Gas
1006803,INTERNATIONAL PAPER SAVANNA MILL,GA,32.1,-81.12,322130,Pulp and Paper,350976.38,345952.5,648275.89,612349.9,15.0,Natural Gas
1000193,INTERNATIONAL WAXES INC,PA,41.86,-78.45,324199,Petroleum and Natural Gas Systems,101186.65,101044,159833.07,158922.9,99.0,Natural Gas
1007953,INTERSTATE WASTE REMOVAL PARKLANDS RECLM SLF,NJ,40.13,-74.71,562212,Waste,1106.55,37.3,5869.69,27.87,0.08,Natural Gas
1001781,INV Nylon Chemicals Americas Victoria Site,TX,28.67,-96.95,325199,Chemicals,1719306.38,754106.1,1588496.97,667879.6,400.0,Natural Gas
1000276,INV. Camden Plant,SC,34.23,-80.66,325220,Other,65521,65453.6,208677.02,207279.0,99.0,Natural Gas
1002212,INVISTA ORANGE SITE,TX,30.05,-93.75,325199,Chemicals,112286.23,112170.6,104407.95,104298.0,263.0,Natural Gas
1002342,INVISTA S.A.R.L. WAYNESBORO FACILITY,VA,38.06,-78.88,325220,Other,29967.19,29936.5,88771.87,88071.0,99.0,Natural Gas
1004708,IOI LODERS CROKLAAN,IL,41.41,-88.21,311225,Other,42842.69,42798.3,32870.86,32670.6,100.0,Natural Gas
1003812,IOWA CITY SANITARY LANDFILL,IA,41.65,-91.63,562212,Waste,27389.9,78.6,38273.2,54.4,6.09,Petroleum Products
1002641,IOWA STATE UNIVERSITY/ ISU HEATING PLANT,IA,42.03,-93.64,611310,Other,203541.03,202628.5,331111.12,328623.7,235.1,Coal
1001534,IPL Eagle Valley Generating Station,IN,39.49,-86.42,221112,Power Plants,1794345.5,1792523.4,1142524.29,1133421.8,79.3,Natural Gas
1003270,IPSCO KOPPEL TUBULARS CORP AMBRIDGE PLT,PA,40.61,-80.23,331110,Metals,5726.03,5720,56708.64,56650.0,196.0,Natural Gas
1005190,IPSCO KOPPEL TUBULARS CORP KOPPEL WORKS,PA,40.84,-80.32,331110,Metals,12396.27,12387.5,42689.02,42666.0,73.0,Natural Gas
1003227,IRIS GLEN ENVIRONMENTAL CENTER,TN,36.33,-82.33,562212,Waste,38413.95,209.7,67288.36,209.0,0.15,Natural Gas
1004165,"IROQUOIS GAS TRANSMISSION SYSTEM, L.P. - BROOKFIELD COMPRESSOR STATION",CT,41.43,-73.37,486210,Petroleum and Natural Gas Systems,54750.95,54209.8,37359.36,37321.0,82.85,Natural Gas
1002277,ISLIP MCARTHUR RESOURCE RECOVERY FACIL,NY,40.79,-73.11,562213,Waste,47622.6,44910.6,46796.86,44015.0,93.8,Natural Gas
1005592,ISOLATEK INTERNATIONAL,IN,40.89,-85.47,327993,Minerals,24613.37,24453,25901.4,25714.0,37.2,Coal
1005604,ISP CHEMICALS LLC,KY,37.05,-88.36,325199,"Chemicals,Waste",67838.95,67181.1,100046.02,99447.0,88.0,Natural Gas
1004504,ISP LIMA LLC,OH,40.72,-84.12,325199,Chemicals,109240.39,109050.8,107541.48,107360.8,236.0,Natural Gas
1000022,ISP TECHNOLOGIES TEXAS CITY PLANT,TX,29.43,-95,325199,Chemicals,35969.96,35932.7,30953.33,30920.7,125.0,Natural Gas
1002647,ITASCA LANDFILL,TX,32.19,-97.11,562212,Waste,45905.75,1,97574.0,4.0,0.0441,Petroleum Products
1002532,Ignacio Gas Plant,CO,37.15,-107.78,211130,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",515641.58,492497.6,259223.32,258955.9,123.5233983,Natural Gas
1004718,"Imerys Filtration Minerals, Inc.",CA,34.6,-120.45,212399,Other,34559.72,34524.1,54938.75,54884.5,50.0,Natural Gas
1001243,Indeck-Corinth Energy Center,NY,43.25,-73.81,221112,Power Plants,169904.57,169732.5,267105.51,266834.8,0.4,Natural Gas
1006205,Indeck-Olean Energy Center,NY,42.09,-78.46,221112,Power Plants,40451.4,40410.3,128057.63,127928.3,0.475,Natural Gas
1001240,Indeck-Silver Springs Energy Center,NY,42.65,-78.08,221112,Power Plants,24791.81,24766.6,6179.38,6172.8,0.3,Natural Gas
1001242,Indeck-Yerkes Energy Center,NY,42.97,-78.92,221112,Power Plants,29832.59,29801.9,35093.36,35055.0,0.15,Natural Gas
1001059,Independence,AR,35.67,-91.41,221112,Power Plants,3376381.23,3349949.8,11395285.8,11305964.0,183.6,Coal
1000432,Independence,NY,43.5,-76.45,221112,Power Plants,1607362.39,1605729.9,1404566.29,1403139.3,0.32,Natural Gas
1001478,Indian River,DE,38.59,-75.23,221112,Power Plants,150719.57,149539.6,2136147.83,2124693.3,366.0,Petroleum Products
1007287,Indiana Harbor Coke Company,IN,41.66,-87.45,324199,Metals,1177364.62,1177301.3,818994.01,818928.8,0.15,Petroleum Products
1007909,Indorama Ventures Oxides LLC,TX,29.99,-93.95,325110,Chemicals,1242673.46,1234421.8,1366425.11,1354926.1,392.0,Natural Gas
1000325,"Indorama Ventures, Xylenes and PTA, LLC",AL,34.64,-87.06,325110,"Chemicals,Suppliers of CO2",268138.18,267353.7,329399.74,329228.4,400.0,Other
1003513,Ingredion Inc.,MO,39.13,-94.57,311221,Other,27424,27395.5,34576.02,34540.4,35.0,Natural Gas
1000261,Ingredion Incorporated Argo Plant,IL,41.78,-87.82,311221,Other,723200.48,718896.4,920153.8,913149.5,600.0,Coal
1005479,"Ingredion Incorporated, Indianapolis Plant",IN,39.74,-86.17,311221,Other,68050.59,67979.6,92331.85,92236.5,4.5,Natural Gas
1000469,Inland Empire Energy Center,CA,33.74,-117.17,221112,Power Plants,0,0,1312274.84,1310942.1,157.0,Natural Gas
1005628,Intermountain Generating Station,UT,39.5,-112.58,221112,Power Plants,6326809.47,6276413.6,12013256.53,11917433.1,0.0,Coal
1006703,International Paper - Columbus Mill,MS,33.36,-88.46,322110,"Pulp and Paper,Waste",147988.95,109070.8,105655.04,68483.2,2.5,Natural Gas
1006209,International Paper - Flint River Mill,GA,32.25,-84.07,322110,"Pulp and Paper,Waste",172972.03,94616.1,81991.97,54327.2,0.77,Petroleum Products
1007912,International Paper - Georgetown Mill,SC,33.36,-79.3,322121,"Pulp and Paper,Waste",310006.89,272329.9,427742.08,382613.3,25.1,Natural Gas
1005738,International Paper - Mansfield Mill,LA,32.16,-93.56,322130,"Pulp and Paper,Waste",784042.41,666039.4,454523.36,410050.5,654.4,Natural Gas
1000228,International Paper - New Bern Mill,NC,35.21,-77.12,322110,"Pulp and Paper,Waste",97271.52,82632.3,137789.34,119974.0,579.0,Natural Gas
1005909,International Paper - Orange Mill,TX,30.22,-93.74,322130,"Pulp and Paper,Waste",334174.93,264887.3,227502.72,201060.4,656.0,Natural Gas
1000196,International Paper - Pensacola Mill,FL,30.61,-87.32,322130,Pulp and Paper,310853.91,304690.7,404861.9,377957.9,35.0,Natural Gas
1002113,International Paper - Pine Hill Mill,AL,31.97,-87.48,322130,"Pulp and Paper,Waste",207346.83,174418.9,248966.99,217107.2,35.0,Natural Gas
1001733,International Paper - Red River Mill,LA,31.91,-93.17,322121,"Pulp and Paper,Waste",178255.12,139751.7,131288.07,102073.5,20.0,Natural Gas
1002149,International Paper - Springfield Mill,OR,44.06,-122.95,322130,Pulp and Paper,108506.92,107547.3,134637.69,122744.7,751.0,Natural Gas
1006776,International Paper - Valliant Mill,OK,34,-95.11,322130,"Pulp and Paper,Waste",481536.62,384887.7,332211.49,299606.3,810.0,Natural Gas
1000434,International Paper - Vicksburg Mill,MS,32.53,-90.77,322121,"Pulp and Paper,Waste",144097.91,136247.8,115036.14,96468.8,3.0,Natural Gas
1006760,International Paper ROME LINERBOARD MILL,GA,34.25,-85.33,322130,"Pulp and Paper,Waste",311868.82,232656.7,429369.13,393667.2,184.0,Natural Gas
1006885,International Paper Ticonderoga Mill,NY,43.89,-73.4,322121,"Pulp and Paper,Waste",197817.42,146545.1,249944.08,239740.0,0.4,Petroleum Products
1006262,International Paper-Eastover Mill,SC,33.89,-80.64,322121,"Pulp and Paper,Waste",283345.76,226185.6,481187.87,437842.8,20.0,Petroleum Products
1000258,International Paper-Franklin Mill,VA,36.68,-76.91,322121,"Pulp and Paper,Waste",80669.8,73779.9,166478.61,158786.9,0.08,Petroleum Products
1004901,International Paper-Port Wentworth,GA,32.16,-81.16,322110,Pulp and Paper,113129.97,108197.1,78964.51,55209.6,0.6,Petroleum Products
1006892,International Paper-Prattville Mill,AL,32.42,-86.47,322130,"Pulp and Paper,Waste",394136.53,326067.3,335456.99,297951.7,0.5,Natural Gas
1007226,International Paper-Riegelwood,NC,34.35,-78.2,322110,"Pulp and Paper,Waste",320681.19,186061,262878.67,217873.2,4.28,Natural Gas
1006788,International Paper-Riverdale Mill,AL,32.43,-86.87,322121,"Pulp and Paper,Waste",303930.15,286466.2,269717.71,244315.0,412.2,Natural Gas
1004886,Interstate Paper LLC dba DSSmith Riceboro,GA,31.74,-81.41,322130,"Pulp and Paper,Waste",44285.58,25016.2,40265.78,26988.7,300.0,Natural Gas
1003409,Inver Hills Generating Plant,MN,44.78,-93.04,221112,Power Plants,15670.39,15654.5,42353.77,42305.1,811.0,Natural Gas
1003195,"Ironside Energy, LLC",IN,41.66,-87.47,221118,Power Plants,49693.98,49678.5,203958.39,203906.5,657.0,Natural Gas
1003714,Iroquois Bio Energy Company,IN,40.93,-87.07,325193,"Other,Waste",71863.73,71745,73060.02,72984.4,125.0,Natural Gas
1001425,Irvington Generating Station,AZ,32.16,-110.9,221112,Power Plants,797777.43,796963.1,730443.64,726531.1,406.98,Natural Gas
1001154,Itafos Conda LLC,ID,42.74,-111.54,325312,Chemicals,125109.5,125012.5,104573.53,104486.4,213.8,Natural Gas
1004716,J BAR J LANDFILL,NE,41.06,-101.58,562212,Waste,58907.5,22.5,43163.0,13.0,0.15,Petroleum Products
1001497,J D Kennedy,FL,30.36,-81.62,221112,Power Plants,70334.84,70263.6,81002.49,80898.6,4.0,Natural Gas
