Fac_ID,Fac_Name,State,Latitude,Longitude,NAICS,Sector,Total_Emissions,CO2_Emissions
1001892,"Verso Quinnesec, LLC",MI,45.795,-87.9586,322121,Pulp and Paper,94628.7,70817.1
1005202,"Versum Materials US, LLC",PA,40.836389,-76.030833,325120,"Chemicals,Industrial Gas Suppliers",4172.78,4158.4
1001155,Vertellus Integrated Pyridines LLC,IN,39.74028,-86.21833,325192,Chemicals,84181.73,84052.6
1000924,Victoria Power Station,TX,28.7883,-97.01,221112,Power Plants,395688.08,395286.4
1000647,Vienna,MD,38.4878,-75.8208,221112,Power Plants,11719.21,11679.0
1002345,Viosca Knoll 786 A,LA,29.229003,-87.780968,211111,Petroleum and Natural Gas Systems,71870.81,71783.4
1003717,Viosca Knoll 989,LA,28.97303233,-88.62598209,211111,Petroleum and Natural Gas Systems,42113.8,42059.0
1007560,Viosca Knoll VK 900,LA,29.084538,-88.704538,211111,Petroleum and Natural Gas Systems,27282.95,27255.0
1000294,"Virginia Renewable Power - Portsmouth, LLC",VA,36.8703,-76.3519,221112,Power Plants,483223.77,479352.0
1005660,Virginia Tech,VA,37.23215,-80.42173,611310,Other,119553.31,118650.1
1006397,Vitro Flat Glass LLC,TX,33.996428,-98.553358,327211,Minerals,176985.93,176833.5
1002217,Vitro Flat Glass LLC,PA,40.12921,-77.16726,327211,Minerals,215810.78,215639.8
1006868,W A Parish,TX,29.4783,-95.6358,221112,Power Plants,16587455.04,16459497.1
1006794,W H Sammis,OH,40.5308,-80.6311,221112,Power Plants,11862830.42,11800594.8
1000829,W H Weatherspoon Steam Electric Plant,NC,34.5889,-78.975,221112,Power Plants,754269.01,748246.3
1001007,W H Zimmer Generating Station,OH,38.8689,-84.2286,221112,Power Plants,8326031.99,8259461.0
1007124,W I TAYLOR COUNTY LANDFILL LLC,GA,32.44889,-84.38639,562212,Waste,388588.1,5.6
1007705,W M W I - TIMBERLINE TRAIL RDF,WI,45.45344,-91.362534,562212,Waste,54939.56,937.7
1000908,W S Lee,SC,34.6022,-82.435,221112,Power Plants,1094957.13,1086236.0
1006993,WABASH VALLEY LANDFILL,IN,40.822025,-85.800428,562212,Waste,199038.0,83.0
1005691,WAHA GAS PLANT,TX,31.268888,-103.086666,486210,Petroleum and Natural Gas Systems,67389.49,67319.0
1003831,WALNUT POWER PLANT,CA,37.489917,-120.903595,221112,Power Plants,608.95,608.4
1006849,WALTER REED ARMY MEDICAL CENTER,DC,38.97363,-77.02691,622110,Other,31380.85,31341.4
1005111,WARBASSE HOUSES & POWER PLANT,NY,40.58125,-73.97456,221112,Power Plants,34299.62,34264.0
1004095,WARREN COUNTY DISTRICT LANDFILL,NJ,40.8249,-75.0179,562212,Waste,28495.3,30.8
1007282,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,UT,41.03958,-111.92407,562212,Waste,74375.7,28148.1
1004647,WASHINGTON 10 STORAGE (MICHIGAN CONSOLIDATED),MI,42.77272,-83.00564,221210,Other,31734.83,31702.5
1005944,WASHINGTON MILLS HENNEPIN INC.,IL,41.29884,-89.30235,327910,Chemicals,126482.89,113098.0
1005091,WASHINGTON STATE UNIVERSITY,WA,46.72964,-117.1523,611310,Other,53160.49,53103.1
1002629,WASSON CO2 REMOVAL PLANT,TX,32.99825,-102.81518,211111,Petroleum and Natural Gas Systems,86823.08,86734.4
1007583,WASTE MANAGEMENT CHARLES CITY LANDFILL,VA,37.432808,-77.122354,562212,Waste,183881.1,15651.61
1007935,WASTE MANAGEMENT DISPOSAL SERVICE MOUNTAIN VIEW LANDFILL,PA,39.798235,-77.809553,562212,Waste,53290.42,717.67
1007989,WASTE MANAGEMENT DISPOSAL SERVICES OF OREGON,OR,45.623963,-120.254986,562212,Waste,173493.79,1418.8
1007797,WASTE MANAGEMENT OF LA LLC - WOODSIDE SANITARY LANDFILL & RECYCLING CENTER,LA,30.497611,-90.828821,562212,Waste,28467.08,926.2
1003259,WASTE MANAGEMENT OF MICHIGAN INC,MI,42.722701,-83.254729,562212,Waste,153808.15,227.1
1003582,WASTE MANAGEMENT OF MICHIGAN INCORPORATED,MI,42.264144,-83.42661,562212,Waste,162495.1,679.3
1003399,"WASTE MANAGEMENT OF MISSISSIPPI INC, PLANTATION OAKS MUNICIPAL LANDFILL AND RECY",MS,31.356953,-91.395006,562212,Waste,139082.94,228.66
1007617,"WASTE MANAGEMENT OF NEW YORK, LLC",NY,42.581913,-78.499515,562212,Waste,81874.43,2580.51
1007894,WASTE MANAGEMENT OF TEXAS AUSTIN COMMUNITY RECYCLING & DISPOSAL FACILITY,TX,30.33381,-97.62195,562212,Waste,71929.15,331.23
1007683,WASTE MANAGEMENT OF TUNICA LANDFILL INC,MS,34.787517,-90.2483,562212,Waste,81000.79,162.06
1007834,"WASTE MANAGEMENT OF WISCONSIN, INC.",WI,44.1744,-87.8294,562212,Waste,58250.91,1722.56
1007852,WASTE MANAGEMENT SKYLINE LANDFILL,TX,32.54992,-96.66561,562212,Waste,164481.35,406.98
1007907,WASTE MGMT OF CO INC County Line,CO,39.5636,-104.9335,562212,Waste,13367.01,27.6
1007851,WASTE MGMT OF OK,OK,36.197894,-95.819885,562212,Waste,119976.31,84.85
1007400,WATER QUALITY CENTER,WI,44.42328,-89.831663,322121,Pulp and Paper,176.2,176.2
1002854,WATER RENEWAL CENTER,WI,44.486243,-89.582534,322121,Pulp and Paper,114970.53,113089.8
