Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Ferroalloy Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Zinc Production,Municipal Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1000786,110000496552,H F Lee Steam Electric Plant,GOLDSBORO,NC,27530,1199 Black Jack Church Rd,Wayne,35.3775,-78.0875,221112,"C,D",Power Plants,"2,459,856.37","2,441,786.10","6,622.00","11,448.27",,,,,,,,,,"4,461.63","2,455,394.74",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007640,110012142127,H L Spurlock,MAYSVILLE,KY,41056,ROUTE 8,Mason,38.7,-83.8175,221112,"C,D",Power Plants,"9,020,541.78","8,972,201.60","2,416.00","45,924.18",,,,,,,,,,164.95,"9,020,376.84",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001176,110000458282,H W Pirkey Power Plant,HALLSVILLE,TX,75650,2396 FM RD 3251,Harrison,32.4607,-94.4852,221112,D,Power Plants,"4,657,655.88","4,622,469.40","12,870.75","22,315.73",,,,,,,,,,,"4,657,655.88",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003645,110028042222,HAL C WEAVER POWER PLANT,AUSTIN,TX,78713,215 E 24TH,TRAVIS COUNTY,30.28724,-97.73589,221112,C,Power Plants,"223,962.80","223,731.00",105.75,126.05,,,,,,,,,,"223,962.80",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007550,110002017665,HALIFAX LANDFILL,HALIFAX,MA,02338,27 LAUREL STREET,PLYMOUTH,41.9923,-70.89789,562212,HH,Waste,"2,415.00",,"2,415.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,415.00",N,N,N
1001802,110008062265,HAMAKUA ENERGY PARTNERS,HONOKAA,HI,96727,45-300 LEHUA STREET,HAWAII,20.094083,-155.471028,221112,C,Power Plants,"165,991.85","165,378.00",181.75,432.10,,,,,,,,,,"165,991.85",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000564,110001888994,HAMPTON/NASA STEAM PLANT,HAMPTON,VA,23666,50 WYTHE CREEK ROAD,HAMPTON CITY,37.1006,-76.39072,221330,C,Power Plants,"22,890.50","22,890.50",,,,,,,,,,,"34,335.70","22,890.50",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003638,110006202411,HANCOCK COUNTY LANDFILL *,FINDLAY,OH,45840,10400 ALLEN TOWNSHIP ROAD 107,HANCOCK,41.113025,-83.678782,924110,HH,Waste,"84,658.25",,"84,658.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,658.25",N,N,N
1003137,110007123184,HANES MILL ROAD LANDFILL,WINSTON-SALEM,NC,27102,325 WEST HANES MILL ROAD,FORSYTH,36.189037,-80.287502,562212,"C,HH",Waste,"23,999.10",1.60,"23,997.50",,,,,,,,,,,1.60,,,,,,,,,,,,,,,,,,,,,,,"23,997.50",N,N,N
1003492,110021331664,HANK NIKKELS PLANT ONE,ANCHORAGE,AK,99501,821 EAST FIRST AVENUE,ANCHORAGE MUNICIPALITY,61.22141,-149.86579,221112,C (Abbr),Power Plants,"35,955.86","35,918.00",17.00,20.86,,,,,,,,,,"35,955.86",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002431,110000484039,HANSON PERMANENTE CEMENT,CUPERTINO,CA,95014,24001 STEVENS CREEK BLVD.,SANTA CLARA,37.320078,-122.091012,327310,"C,H",Minerals,"667,789.09","665,872.60",701.25,"1,215.24",,,,,,,,,,"264,493.59",,,,,"403,295.50",,,,,,,,,,,,,,,,,,,N,N,N
1001700,110028033125,HARBOR COGENERATION PLANT,WILMINGTON,CA,90744,505 PIER B STREET,LOS ANGELES,33.77695,-118.23042,221112,C,Power Plants,"16,321.99","16,305.00",7.75,9.24,,,,,,,,,,"16,321.99",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005379,110055510200,HARDWICK LANDFILL,Hardwick,MA,01037,1270 Patrill Hollow Rd.,HAMPSHIRE,42.330019,-72.242324,562212,"C,HH",Waste,"2,109.95",3.70,"2,106.25",,,,,,,,,,,3.70,,,,,,,,,,,,,,,,,,,,,,,"2,106.25",N,N,N
1002292,110001832606,HARFORD WASTE DISPOSAL CENTER,STREET,MD,21154,3241 SCARBORO ROAD,HARFORD,39.6395,-76.2971,562212,"C,HH",Waste,"71,683.75",21.00,"71,662.75",,,,,,,,,,,21.00,,,,,,,,,,,,,,,,,,,,,,,"71,662.75",N,N,N
1004119,110013980781,HAROLD J LANDRY LANDFILL,BERWICK,LA,70342,752 THORGUSON DRIVE,SAINT MARY,29.6933,-91.2258,562212,HH,Waste,"92,831.50",,"92,831.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,831.50",N,N,N
1006357,110041362156,HARTZOG,GILLETTE,WY,82718,,CAMPBELL,43.773522,-105.7807677,221112,C,Power Plants,"1,718.54","1,716.90",0.75,0.89,,,,,,,,,,"1,718.54",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002159,110034137324,HASTINGS LANDFILL,HASTINGS,NE,68901,220 N HASTINGS AVE,ADAMS,40.585363,-98.389687,562212,"C,HH",Waste,"35,634.70",34.20,"35,600.50",,,,,,,,,,,34.20,,,,,,,,,,,,,,,,,,,,,,,"35,600.50",N,N,N
