fac_id,fac_name,state,latitude,longitude,naics,naics_3digits,sub_sector,sector,fuel_type,co2_emissions_2010,co2_emissions_2011,co2_emissions_2012,co2_emissions_2013,co2_emissions_2014,co2_emissions_2015,co2_emissions_2016,co2_emissions_2017,co2_emissions_2018,co2_emissions_2019,co2_emissions_2020,capture_cost,total_capture_cost,45Q_credit_incentive,eco_opportunity,business_opportunity
1004564,Belle River Compressor Station,MI,42.79,-82.53,221210,221,Utilities,Petroleum and Natural Gas Systems,Natural Gas,42763.7,52669.7,46042.4,60448.3,56273.9,36740.3,31493.9,44723.4,48940.3,63952.1,55553.8,130,7221994.0,2777690.0,4444304.0,Forget it
1006864,Bellingham Power Generation LLC,MA,42.11,-71.45,221112,221,Utilities,Power Plants,Natural Gas,690934.2,434063.6,724294.4,806389.9,907879.2,1024857.4,829842.2,749948.6,905963.2,689338.6,589618.8,130,76650444.0,29480940.000000004,47169504.0,To target
1003790,Belpre Carbon Black Plant,OH,39.3,-81.57,325180,325,Chemical manufacturing,Chemicals,Natural Gas,176180.7,164755.4,176744.0,182214.0,191292.8,192777.5,195085.4,203089.8,189909.9,160619.5,162780.9,30,4883427.0,8139045.0,-3255618.0,Forget it
1000244,Bennett Mountain Power Project,ID,43.15,-115.67,221112,221,Utilities,Power Plants,Natural Gas,24067.0,28083.9,31266.3,45914.9,41399.8,91136.9,59523.0,51167.7,88966.2,185644.9,183615.0,130,23869950.0,9180750.0,14689200.0,Too discuss
1000742,Bergen,NJ,40.84,-74.02,221112,221,Utilities,Power Plants,Natural Gas,2548759.6,2442533.5,2470377.8,2499028.0,2619149.5,2497588.0,2043945.1,1432699.1,1658742.2,1236162.2,720311.1,130,93640443.0,36015555.0,57624888.0,To target
1001298,Berkshire Power,MA,42.05,-72.65,221112,221,Utilities,Power Plants,Natural Gas,399063.1,421963.5,305305.2,446095.9,476449.1,447070.6,333328.7,158378.0,257620.6,147282.3,244078.7,130,31730231.0,12203935.0,19526296.0,Too discuss
1002298,Bethel Gas Treating Facility,TX,31.8,-96.11,211130,211,Oil and gas extraction,Petroleum and Natural Gas Systems,Natural Gas,36472.0,52761.1,70436.7,71045.2,58872.9,80089.8,63549.0,66827.3,62426.5,45746.1,42002.6,30,1260078.0,2100130.0,-840052.0,Forget it
1000777,Bethlehem Energy Center (Albany),NY,42.59,-73.76,221112,221,Utilities,Power Plants,Natural Gas,1635144.0,1621961.4,1868207.7,1504816.5,1710797.8,1933875.6,1953190.7,1977666.2,1919372.9,1700511.3,1842373.9,130,239508607.0,92118695.0,147389912.0,To target
1000127,Bethlehem Power Plant,PA,40.62,-75.31,221112,221,Utilities,Power Plants,Natural Gas,1301717.0,1873413.2,2534720.4,2119617.2,2082814.6,2351607.0,2337477.8,2096994.6,1820050.6,2068746.4,2443958.5,130,317714605.0,122197925.0,195516680.0,To target
1001238,Bethpage Energy Center,NY,40.75,-73.5,221112,221,Utilities,Power Plants,Natural Gas,203133.0,198006.2,237462.3,303402.7,266007.6,399872.9,393905.7,299148.3,221066.2,163399.7,239591.0,130,31146830.0,11979550.0,19167280.0,Too discuss
1007930,Big Cajun 1,LA,30.67,-91.35,221112,221,Utilities,Power Plants,Natural Gas,44487.6,69936.1,73946.4,21578.3,26059.5,36342.7,48298.6,67322.5,99718.5,88257.3,37439.5,130,4867135.0,1871975.0,2995160.0,Forget it
1001016,Big Cajun 2,LA,30.73,-91.37,221112,221,Utilities,Power Plants,Coal,12435240.2,12364280.5,10010815.3,10776235.9,10624054.2,7030777.7,5891916.0,5973432.2,4739719.2,2910254.9,978212.2,65,63583793.0,48910610.0,14673183.0,To target
1002251,"Big Escambia Creek Gas Production, Treating and Processing Facility (BEC)",AL,31.07,-87.36,211130,211,Oil and gas extraction,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",Natural Gas,97830.7,438669.5,400139.4,453134.7,433996.3,414847.8,349774.9,306523.7,298112.1,273754.3,264847.6,30,7945427.999999999,13242379.999999998,-5296951.999999999,Forget it
1006022,"Big River Resources Boyceville, LLC",WI,45.05,-91.98,325193,325,Chemical manufacturing,"Other,Suppliers of CO2",Natural Gas,82936.4,84095.0,72810.5,75955.6,81712.8,80915.5,81606.1,82288.4,83423.5,72805.2,72507.7,30,2175231.0,3625385.0,-1450154.0,Forget it
1001587,Big Sandy,KY,38.17,-82.62,221112,221,Utilities,Power Plants,Natural Gas,5868160.0,5639088.4,2479256.2,2430812.4,3929911.1,2739837.7,287841.0,314827.4,345427.5,573876.2,489462.7,130,63630151.0,24473135.0,39157016.0,Too discuss
1000604,Big Spring Carbon Black Plant,TX,32.27,-101.41,325180,325,Chemical manufacturing,Chemicals,Natural Gas,351600.5,352284.3,324516.0,333281.9,292172.3,332121.1,285297.0,321826.0,314540.0,289808.0,224410.4,30,6732312.0,11220520.0,-4488208.0,Forget it
1001027,Big Stone,SD,45.3,-96.51,221112,221,Utilities,Power Plants,Coal,3334310.8,2636777.7,2876939.8,2969270.4,2859885.7,1584187.4,2239245.7,2257179.3,2519012.8,2812164.4,1883918.1,65,122454676.5,94195905.0,28258771.5,To target
1000259,Birchwood Power Facility,VA,38.27,-77.31,221112,221,Utilities,Power Plants,Coal,785877.7,485842.0,410709.5,595306.2,817352.7,545122.7,448334.2,464204.2,558476.6,69424.3,98535.6,65,6404814.0,4926780.0,1478034.0,Forget it
1000689,Black Dog,MN,44.81,-93.25,221112,221,Utilities,Power Plants,Natural Gas,1462134.3,1538368.5,1433087.1,1515737.8,1741935.0,770235.0,482673.6,293325.5,439736.7,800877.1,718349.8,130,93385474.0,35917490.0,57467984.0,To target
1006869,Black Mountain Facility,NV,36.22,-114.88,221112,221,Utilities,Power Plants,Natural Gas,362611.7,357326.6,364539.9,341794.4,364839.2,364843.6,366469.9,357046.2,356660.6,350665.6,368508.5,130,47906105.0,18425425.0,29480680.0,Too discuss
1004551,Blacks Fork Gas Plant,WY,41.55,-110.05,211130,211,Oil and gas extraction,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",Natural Gas,62591.2,94822.0,142211.7,140212.2,136915.7,140848.5,125330.9,125436.9,111706.9,112383.9,112422.2,30,3372666.0,5621110.0,-2248444.0,Forget it
1006657,Blackstone Power Generation LLC,MA,42.06,-71.52,221112,221,Utilities,Power Plants,Natural Gas,699126.8,815186.3,802154.1,739250.4,836723.3,815626.6,597722.4,785362.6,835630.8,671891.4,567055.8,130,73717254.0,28352790.000000004,45364464.0,To target
1000979,Blount Street,WI,43.08,-89.37,221112,221,Utilities,Power Plants,Natural Gas,40049.9,26999.8,40655.0,15139.0,6863.3,42569.4,73511.5,19495.1,24504.7,41236.5,26219.4,130,3408522.0,1310970.0,2097552.0,Forget it
1000141,Blue Spruce Energy Center,CO,39.74,-104.68,221112,221,Utilities,Power Plants,Natural Gas,241782.9,191709.2,100355.3,200015.3,198872.3,266330.0,124381.4,235950.9,150726.9,308886.8,333949.9,130,43413487.0,16697495.000000002,26715992.0,Too discuss
1007421,Blue Valley,MO,39.09,-94.33,221112,221,Utilities,Power Plants,Natural Gas,176295.7,199588.9,170973.7,138346.1,75124.6,128416.7,17949.5,6778.3,18442.0,14626.5,1616.7,130,210171.0,80835.0,129336.0,Forget it
1001341,Bluegrass Generating Station,KY,38.39,-85.41,221112,221,Utilities,Power Plants,Natural Gas,56738.6,20521.1,33663.7,19.3,0.0,44816.7,32490.7,49610.9,67393.4,88425.4,53690.6,130,6979778.0,2684530.0,4295248.0,Forget it
1007940,Boardman,OR,45.69,-119.81,221112,221,Utilities,Power Plants,Coal,3917424.1,3096660.3,2491385.7,3600194.8,3049393.3,2296610.7,1829659.3,1700983.9,1501542.2,2524717.9,1685981.9,65,109588823.5,84299095.0,25289728.5,To target
1001149,Bonanza,UT,40.09,-109.28,221112,221,Utilities,Power Plants,Coal,3415138.0,3158232.8,3006529.4,3586247.3,3597040.6,3352663.8,3259851.3,3714387.8,3700386.8,3752961.2,3245037.6,65,210927444.0,162251880.0,48675564.0,To target
1001727,"Boomvang Spar, East Breaks 643 Platform",TX,27.35,-93.37,211120,211,Oil and gas extraction,Petroleum and Natural Gas Systems,Petroleum Products,32827.8,43132.6,32119.9,38773.9,40747.3,36812.1,34926.6,32294.8,22604.5,28274.5,23155.2,30,694656.0,1157760.0,-463104.0,Forget it
1003533,Borger Carbon Black Plant,TX,35.67,-101.43,325180,325,Chemical manufacturing,Chemicals,Natural Gas,187392.9,186542.3,202200.8,179331.4,202878.2,212293.2,225658.6,236654.9,225608.1,206951.6,151942.7,30,4558281.0,7597135.000000001,-3038854.000000001,Forget it
1000605,Borger Carbon Black Plant,TX,35.67,-101.44,325180,325,Chemical manufacturing,Chemicals,Natural Gas,343236.1,346104.0,332438.0,298605.8,288124.0,297135.4,286075.2,314968.3,312293.3,273828.7,216589.8,30,6497694.0,10829490.0,-4331796.0,Forget it
1004701,Borman Specialty Materials,NV,36.04,-115.0,325180,325,Chemical manufacturing,Chemicals,Natural Gas,31664.0,30553.0,26506.0,24837.0,25864.6,26730.5,28583.0,27145.2,29312.5,25500.7,28674.5,30,860235.0,1433725.0,-573490.0,Forget it
1008020,Bosque County Power Plant,TX,31.86,-97.36,221112,221,Utilities,Power Plants,Natural Gas,256525.0,638301.6,842426.7,1430799.8,1430955.1,1771793.7,1744918.3,1736748.1,1588600.2,1608723.9,1652890.0,130,214875700.0,82644500.0,132231200.0,To target
1000687,Boswell Energy Center,MN,47.26,-93.65,221112,221,Utilities,Power Plants,Coal,6653724.6,7524390.1,7743024.1,8212884.4,7777004.4,7267863.5,7979582.1,7711957.0,7757189.2,5043888.4,4557211.4,65,296218741.0,227860570.00000003,68358170.99999997,To target
1001505,Bowen,GA,34.13,-84.92,221112,221,Utilities,Power Plants,Coal,20863476.0,14931372.0,9558661.1,12023730.8,15517055.5,12401520.7,15299468.6,13764237.9,13329773.4,11072639.6,7885908.5,65,512584052.5,394295425.0,118288627.5,To target
1000780,Bowline Generating Station,NY,41.2,-73.97,221112,221,Utilities,Power Plants,Natural Gas,204016.7,141472.3,239702.4,702752.9,840012.7,822294.9,790432.5,705946.0,305334.8,179797.9,381231.9,130,49560147.0,19061595.0,30498552.0,Too discuss
1001481,Brandon Shores LLC,MD,39.18,-76.54,221112,221,Utilities,Power Plants,Coal,5741062.9,5996933.6,4828551.0,4946096.9,5077808.0,5236672.2,5050721.5,4123393.9,5010881.9,2560545.0,1134635.2,65,73751288.0,56731760.0,17019528.0,To target
1001167,Brandy Branch,FL,30.32,-81.95,221112,221,Utilities,Power Plants,Natural Gas,909041.7,1268466.0,1505066.1,1270230.7,1358535.4,1518510.2,1139149.4,1528097.3,1632475.3,1403481.3,1941809.1,130,252435183.0,97090455.0,155344728.0,To target
1001288,Brandywine Power Facility,MD,38.67,-76.87,221112,221,Utilities,Power Plants,Natural Gas,261971.3,245666.7,299265.9,409076.8,415810.2,544411.4,576624.2,307743.1,498501.2,314672.3,263193.1,130,34215103.0,13159654.999999998,21055448.0,Too discuss
1000114,Brentwood,NY,40.79,-73.29,221112,221,Utilities,Power Plants,Natural Gas,35117.5,36496.3,37641.1,42669.8,22119.1,31344.0,28318.8,26803.8,32675.9,29314.2,47040.8,130,6115304.0,2352040.0,3763264.0,Forget it
1006949,Bridgeport Harbor Station,CT,41.17,-73.18,221112,221,Utilities,Power Plants,Coal,1261302.8,503256.7,142970.1,695058.3,827543.4,629253.8,220404.2,229196.6,357804.6,382375.7,1292273.4,65,83997771.0,64613669.99999999,19384101.000000007,To target
1001343,Broad River Energy Center,SC,35.08,-81.58,221112,221,Utilities,Power Plants,Natural Gas,542799.7,429889.6,615322.4,224292.4,227133.8,383356.5,710633.1,228498.9,1165712.0,240402.4,167709.1,130,21802183.0,8385455.0,13416728.0,Too discuss
1003303,Brooksville South Cement Plant,FL,28.58,-82.43,327310,327,Nonmetallic mineral product manufacturing,Minerals,Petroleum Products,997311.2,424468.4,450390.5,667239.4,732659.4,793979.6,686244.8,903877.4,1007912.9,964230.0,807169.5,150,121075425.0,40358475.0,80716950.0,To target
1000739,Brownsville CT,TN,35.54,-89.2,221112,221,Utilities,Power Plants,Natural Gas,191585.3,156679.7,239614.7,49569.3,94713.3,150758.2,321673.0,201140.8,361520.3,310213.6,207226.7,130,26939471.0,10361335.0,16578136.0,Too discuss
1000886,"Brunner Island, LLC",PA,40.1,-76.7,221112,221,Utilities,Power Plants,Coal,9048839.0,8441284.3,5486871.4,6136361.2,5557234.5,4555449.9,3246532.2,2447868.2,1701846.9,2150405.5,1218760.6,65,79219439.0,60938030.00000001,18281408.999999993,To target
1007427,Brunot Island Power Station,PA,40.46,-80.04,221112,221,Utilities,Power Plants,Natural Gas,8961.5,4294.6,18179.3,18499.3,25983.5,55839.2,31781.6,37992.8,22617.3,41840.6,72527.5,130,9428575.0,3626375.0,5802200.0,Forget it
1001224,Brush Power Projects,CO,40.24,-103.63,221112,221,Utilities,Power Plants,Natural Gas,57410.2,52302.7,42248.9,63545.9,37901.2,22669.9,18367.5,21610.9,84604.4,106003.0,90169.4,130,11722022.0,4508470.0,7213552.0,Forget it
1005351,Buchanan Mine - Preparation Plant,VA,37.22,-82.02,212112,212,Mining (except oil and gas),Other,Natural Gas,34335.0,38969.0,27019.0,41062.9,42015.4,32589.2,36068.4,30774.3,0.0,31.3,29900.8,150,4485120.0,1495040.0,2990080.0,Forget it
1000831,Buck,NC,35.71,-80.38,221112,221,Utilities,Power Plants,Natural Gas,1089435.1,751749.5,1799989.0,1712721.7,1420299.9,1867199.9,1862398.3,1914829.9,1951672.4,1654791.5,1471308.2,130,191270066.0,73565410.0,117704656.0,To target
1000917,Bull Run,TN,36.02,-84.16,221112,221,Utilities,Power Plants,Coal,3337512.0,2462105.4,1757921.2,874589.2,2905902.4,2290803.2,1877337.0,2725729.9,1447363.1,1370625.8,685056.9,65,44528698.5,34252845.0,10275853.5,To target
1001553,Burlington (IA),IA,40.74,-91.12,221112,221,Utilities,Power Plants,Coal,912422.0,1350256.2,1330947.2,1268032.0,1265833.1,1183977.5,1163151.2,1174470.4,1277318.0,1215013.3,1186310.4,65,77110176.0,59315519.99999999,17794656.000000007,To target
1001500,C D McIntosh Jr Power Plant,FL,28.08,-81.93,221112,221,Utilities,Power Plants,Coal,2258686.3,2327537.6,2318384.6,2244241.8,1206063.3,2366108.7,1978320.3,2098138.6,2497902.1,1756895.3,1436634.9,65,93381268.5,71831745.0,21549523.5,To target
1002748,C-E MINERALS PLANTS 1/2/6,GA,31.95,-84.33,327992,327,Nonmetallic mineral product manufacturing,Minerals,Coal,319778.3,306618.5,291592.4,280291.2,290726.0,232933.2,174382.5,210482.4,213767.0,177998.7,73939.6,150,11090940.0,3696980.0000000005,7393960.0,Forget it
1001535,C. C. Perry K Steam Plant,IN,39.76,-86.17,221330,221,Utilities,Power Plants,Natural Gas,398468.0,365860.4,348281.8,439488.0,289464.5,224461.6,234693.5,208448.0,201790.4,221607.9,187380.1,130,24359413.0,9369005.0,14990408.0,Too discuss
1000743,Burlington Generating Station,NJ,40.08,-74.88,221112,221,Utilities,"Petroleum and Natural Gas Systems,Power Plants",Natural Gas,80011.6,50818.3,57871.2,42423.3,67598.1,29630.1,34286.4,9389.3,28703.8,7621.4,7780.4,130,1011452.0,389020.0,622432.0,Forget it
1006435,CABOT CORP - CANAL PLANT,LA,29.69,-91.47,325180,325,Chemical manufacturing,Chemicals,Natural Gas,396529.5,368842.6,405161.9,332444.2,365213.6,333309.6,394852.4,383425.0,412962.2,342918.0,317032.2,30,9510966.0,15851610.0,-6340644.0,Forget it
1004791,CABOT CORP - VILLE PLATTE PLANT,LA,30.75,-92.25,325180,325,Chemical manufacturing,Chemicals,Natural Gas,297298.7,285586.1,287927.1,275150.8,284444.8,244311.3,288991.5,321818.1,344701.8,366949.7,230797.1,30,6923913.0,11539855.0,-4615942.0,Forget it
1005127,CABOT NORIT AMERICAS INC,TX,32.54,-94.4,325998,325,Chemical manufacturing,Chemicals,Coal,350956.8,354108.0,356400.4,230372.1,467288.3,344706.9,283409.6,348743.0,228087.9,232005.3,122549.1,30,3676473.0,6127455.0,-2450982.0,Forget it
1005128,CABOT NORIT AMERICAS INC,OK,36.23,-95.28,325998,325,Chemical manufacturing,Chemicals,Coal,108766.7,96338.0,123850.7,118506.2,111323.7,99116.3,84122.7,84432.7,92652.7,85969.2,91163.1,30,2734893.0,4558155.0,-1823262.0,Forget it
1006980,"CADILLAC CASTING, INCORPORATED",MI,44.27,-85.41,331511,331,Primary metal manufacturing,Metals,Natural Gas,40145.1,43733.7,52409.1,70149.7,59406.1,47302.3,47699.7,53839.7,51323.9,45944.6,37636.5,150,5645475.0,1881825.0,3763650.0,Forget it
1006307,CALCASIEU REFINING COMPANY,LA,30.13,-93.32,324110,324,Petroleum and coal products manufacturing,"Petroleum Product Suppliers,Refineries",Natural Gas,364678.7,321878.2,377761.5,313597.1,279803.3,323112.7,319288.8,226480.7,240597.2,271068.4,156685.0,150,23502750.0,7834250.0,15668500.0,Too discuss
1001864,CALGON CARBON CORP,KY,38.34,-82.59,325998,325,Chemical manufacturing,Chemicals,Natural Gas,36297.0,33780.0,40440.0,43893.0,49752.9,48278.9,49451.9,45243.2,43836.7,43332.9,49779.2,30,1493376.0,2488960.0,-995584.0,Forget it
1006761,CALIFORNIA STEEL INDUSTRIES INC,CA,34.08,-117.5,331221,331,Primary metal manufacturing,Metals,Natural Gas,167477.8,189854.5,190684.6,195482.7,205391.9,160354.4,180096.9,176735.3,176632.8,153229.7,124405.1,150,18660765.0,6220255.0,12440510.0,Too discuss
1005363,"CALUMET KARNS CITY REFINING, LLC.",PA,41.0,-79.72,324199,324,Petroleum and coal products manufacturing,Petroleum and Natural Gas Systems,Natural Gas,32692.7,31709.7,27907.9,30562.5,31802.8,28041.6,29001.7,28821.5,32987.2,33398.0,32805.9,150,4920885.0,1640295.0,3280590.0,Forget it
1006500,CALUMET LUBRICANTS CO LP,LA,32.59,-93.52,324110,324,Petroleum and coal products manufacturing,"Chemicals,Petroleum Product Suppliers,Refineries",Natural Gas,99714.6,25394.7,26009.9,82901.8,92018.1,87410.7,82851.7,78555.4,79576.9,82144.0,87470.9,150,13120635.0,4373545.0,8747090.0,Forget it
1006499,CALUMET LUBRICANTS CO LP CALUMET COTTON VALLEY,LA,32.8,-93.41,324110,324,Petroleum and coal products manufacturing,"Chemicals,Petroleum Product Suppliers,Refineries",Other,111735.4,101279.1,99881.3,98549.4,105911.5,103602.3,85516.3,97344.3,90287.5,92002.2,96074.5,150,14411175.0,4803725.0,9607450.0,Forget it
1005125,CALUMET SHREVPORT REFINING LLC,LA,32.47,-93.79,324110,324,Petroleum and coal products manufacturing,"Chemicals,Petroleum Product Suppliers,Refineries",Natural Gas,367706.2,464531.1,389761.1,422772.7,409355.8,371534.7,454056.1,424400.3,384383.6,334866.3,363187.4,150,54478110.0,18159370.0,36318740.0,Too discuss
1004270,CAPITOL CEMENT PLANT,TX,29.55,-98.42,327310,327,Nonmetallic mineral product manufacturing,Minerals,Natural Gas,354666.7,445169.9,496935.1,485339.4,554229.6,506948.0,482247.3,452084.2,393495.1,456851.0,507486.9,150,76123035.0,25374345.0,50748690.0,To target
1006733,CAPITOL POWER PLANT,DC,38.88,-77.01,221330,221,Utilities,Power Plants,Natural Gas,82969.9,78731.0,68739.8,63218.2,66207.5,62751.5,59665.4,59987.5,68524.5,69515.3,65037.0,130,8454810.0,3251850.0,5202960.0,Forget it
1004334,CARBO Ceramics Inc. - Eufaula Plant,AL,31.88,-85.16,327999,327,Nonmetallic mineral product manufacturing,Minerals,Natural Gas,55130.2,56124.3,53695.1,57564.0,53100.4,42508.8,27099.3,0.3,19408.9,19843.6,8862.1,150,1329315.0,443105.0,886210.0,Forget it
1004075,CARBO Ceramics Inc. - McIntyre Plant,GA,32.85,-83.16,327999,327,Nonmetallic mineral product manufacturing,Minerals,Natural Gas,59525.4,64844.4,67041.1,68961.0,67094.3,15559.4,39.5,8276.5,9756.2,12582.1,13681.1,150,2052165.0,684055.0,1368110.0,Forget it
